,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Halsey,100.00%,,,,,,,,,,,,,,,,
Hamilton County,98.43%,0.18%,0.12%,0.22%,,0.49%,0.56%,1.14%,$40,277.00,$45,659.00,$29,238.00,$20,308.00,$17,590.00,5.90%,7.50%,9.80%,5.40%
Hamlet,98.15%,,,,,1.85%,,1.85%,,,,,,,,,
Hampton,98.41%,0.23%,0.68%,,,,0.68%,0.23%,,,,,,,,,
Harbine,100.00%,,,,,,,,,,,,,,,,
Hardy,100.00%,,,,,,,,,,,,,,,,
Harlan County,98.86%,0.13%,0.11%,0.08%,0.03%,0.16%,0.63%,0.77%,$30,679.00,$36,875.00,$27,580.00,$18,411.00,$15,618.00,7.00%,10.10%,14.40%,9.10%
Harrisburg,98.67%,,,,,,1.33%,2.67%,$47,083.00,$50,625.00,$43,750.00,$11,563.00,$19,992.00,0.00%,2.70%,0.00%,0.00%
Harrison,98.92%,,,,,0.36%,0.72%,0.72%,,,,,,,,,
Hartington,99.15%,,0.12%,,,0.06%,0.67%,0.24%,,,,,,,,,
Harvard,95.19%,0.10%,0.70%,0.10%,,3.21%,0.70%,12.32%,$29,350.00,$32,031.00,$26,667.00,$17,159.00,$13,077.00,12.50%,15.20%,16.40%,10.70%
Hastings,93.39%,0.79%,0.42%,2.02%,0.04%,2.39%,0.96%,5.58%,,,,,,,,,
Hay Springs,90.18%,,5.67%,,,1.53%,2.61%,2.30%,,,,,,,,,
Hayes Center,91.67%,,,0.42%,,7.50%,0.42%,10.83%,,,,,,,,,
Hayes County,97.19%,0.19%,,0.28%,,1.78%,0.56%,2.53%,$26,667.00,$31,125.00,$19,211.00,$16,806.00,$14,099.00,14.60%,18.40%,26.20%,12.90%
Hazard,100.00%,,,,,,,,,,,,,,,,
Heartwell,85.00%,,,,,11.25%,3.75%,17.50%,,,,,,,,,
Hebron,99.36%,,0.19%,0.06%,,,0.38%,0.26%,,,,,,,,,
Hemingford,93.15%,,1.01%,,,3.32%,2.52%,6.85%,,,,,,,,,
Henderson,99.49%,,0.20%,0.30%,,,,,,,,,,,,,
Hendley,92.11%,,,,,5.26%,2.63%,7.89%,,,,,,,,,
Henry,98.15%,0.62%,,,0.62%,0.62%,,4.32%,,,,,,,,,
Herman,98.71%,,0.65%,,,,0.65%,1.29%,,,,,,,,,
Hershey,91.61%,0.17%,,0.52%,,6.82%,0.87%,9.62%,,,,,,,,,
Hickman,98.20%,0.40%,,0.20%,,0.30%,0.90%,1.60%,,,,,,,,,
Hildreth,99.73%,,,,,,0.27%,,,,,,,,,,
Hitchcock County,98.36%,0.10%,0.29%,0.13%,,0.29%,0.84%,1.41%,$28,287.00,$34,490.00,$25,833.00,$18,879.00,$14,804.00,10.90%,14.90%,22.90%,8.40%
Holbrook,96.44%,,0.44%,0.89%,,0.44%,1.78%,1.33%,,,,,,,,,
Holdrege,97.29%,0.14%,0.34%,0.25%,,1.03%,0.96%,3.11%,,,,,,,,,
Holmesville,,,,,,,,,,,,,,,,,
Holstein,99.56%,,,,,,0.44%,0.44%,,,,,,,,,
Holt County,98.86%,0.03%,0.29%,0.18%,0.05%,0.23%,0.35%,0.71%,$30,738.00,$37,463.00,$24,681.00,$17,593.00,$15,256.00,9.80%,13.00%,15.00%,12.10%
Homer,96.95%,,2.88%,,,,0.17%,0.34%,,,,,,,,,
Hooker County,98.72%,,0.38%,0.13%,,0.13%,0.64%,1.02%,$27,868.00,$35,114.00,$25,234.00,$16,250.00,$15,513.00,4.90%,6.90%,5.30%,13.10%
Hooper,99.27%,0.12%,,0.24%,,,0.36%,0.97%,,,,,,,,,
Hordville,98.67%,,,,,,1.33%,,,,,,,,,,
Hoskins,99.65%,,,,,,0.35%,0.35%,,,,,,,,,
Howard County,98.69%,0.30%,0.24%,0.09%,0.03%,0.32%,0.32%,1.01%,$33,305.00,$40,259.00,$27,270.00,$19,587.00,$15,535.00,8.50%,11.70%,14.30%,15.00%
Howe,,,,,,,,,,,,,,,,,
Howells,97.78%,,0.16%,0.47%,,0.79%,0.79%,1.27%,,,,,,,,,
Hubbard,98.72%,,,,,,1.28%,,,,,,,,,,
Hubbell,98.63%,1.37%,,,,,,2.74%,,,,,,,,,
Humboldt,96.17%,0.64%,2.02%,0.11%,,0.21%,0.85%,1.81%,,,,,,,,,
Humphrey,98.98%,0.25%,,0.38%,0.13%,,0.25%,0.64%,,,,,,,,,
Huntley,100.00%,,,,,,,1.49%,,,,,,,,,
Hyannis,98.61%,,,,,1.39%,,2.79%,,,,,,,,,
Imperial,97.88%,0.05%,0.10%,0.15%,,1.61%,0.20%,5.15%,,,,,,,,,
Inavale,,,,,,,,,,,,,,,,,
Indianola,97.66%,,0.93%,0.47%,,0.62%,0.31%,1.40%,,,,,,,,,
Inglewood,97.64%,,,,,1.83%,0.52%,2.62%,,,,,,,,,
Inland,,,,,,,,,,,,,,,,,
Inman,95.27%,,,,2.70%,,2.03%,2.70%,,,,,,,,,
Ithaca,96.43%,,1.79%,,,,1.79%,,,,,,,,,,
Jackson,99.02%,,0.49%,0.49%,,,,,,,,,,,,,
Jansen,100.00%,,,,,,,0.70%,,,,,,,,,
Jefferson County,98.42%,0.07%,0.38%,0.17%,0.04%,0.50%,0.42%,1.31%,$32,629.00,$40,747.00,$26,929.00,$18,594.00,$18,380.00,8.00%,8.90%,10.20%,8.70%
Joder,,,,,,,,,,,,,,,,,
Johnson,97.86%,,0.71%,0.36%,,,1.07%,0.36%,$25,833.00,$48,438.00,$31,667.00,$20,833.00,$19,377.00,4.20%,8.90%,1.90%,18.00%
Johnson County,93.54%,0.11%,0.40%,2.67%,0.02%,1.96%,1.29%,2.87%,$32,460.00,$41,000.00,$26,282.00,$20,799.00,$16,437.00,6.70%,8.90%,10.50%,11.10%
Johnstown,92.45%,,,1.89%,,,5.66%,,,,,,,,,,
Julian,100.00%,,,,,,,,,,,,,,,,
Juniata,98.56%,0.43%,0.29%,0.14%,,,0.58%,0.58%,,,,,,,,,
Kearney,95.18%,0.63%,0.38%,0.92%,0.04%,1.68%,1.17%,4.08%,$34,829.00,$46,650.00,$30,150.00,$22,366.00,$17,713.00,7.40%,13.40%,11.80%,8.90%
Kearney County,97.82%,0.16%,0.20%,0.23%,0.01%,0.99%,0.58%,2.34%,$39,247.00,$44,877.00,$29,987.00,$20,081.00,$18,118.00,5.50%,8.50%,10.00%,6.80%
Keith County,96.75%,0.08%,0.71%,0.17%,,1.49%,0.80%,4.23%,$32,325.00,$39,118.00,$26,523.00,$19,024.00,$17,421.00,6.60%,9.30%,13.10%,8.20%
Kenesaw,99.20%,,0.23%,,,,0.57%,0.69%,,,,,,,,,
Kennard,96.77%,0.27%,0.81%,0.81%,,0.27%,1.08%,0.27%,,,,,,,,,
Keya Paha County,99.39%,,0.20%,,,,0.41%,3.87%,$24,911.00,$28,287.00,$18,750.00,$19,107.00,$11,860.00,22.40%,26.90%,34.30%,18.80%
Keystone,,,,,,,,,,,,,,,,,
Kilgore,86.87%,2.02%,11.11%,,,,,,,,,,,,,,
Kimball,96.25%,0.35%,1.06%,0.16%,,0.39%,1.80%,3.52%,,,,,,,,,
Kimball County,96.99%,0.22%,0.66%,0.10%,0.02%,0.66%,1.35%,3.33%,$30,586.00,$35,880.00,$28,300.00,$16,863.00,$17,525.00,9.10%,11.10%,12.30%,5.90%
King Lake,,,,,,,,,,,,,,,,,
Knox County,91.63%,0.09%,7.12%,0.16%,0.04%,0.34%,0.63%,0.91%,$27,564.00,$34,073.00,$23,373.00,$18,319.00,$13,971.00,12.50%,15.60%,20.40%,13.50%
Kramer,,,,,,,,,,,,,,,,,
La Platte,,,,,,,,,,,,,,,,,
La Vista,90.45%,2.94%,0.39%,2.35%,0.10%,1.62%,2.14%,4.15%,,,,,,,,,
Lakeside,,,,,,,,,,,,,,,,,
Lakeview,,,,,,,,,,,,,,,,,
Lamar,100.00%,,,,,,,10.53%,,,,,,,,,
Lancaster County,90.07%,2.82%,0.64%,2.86%,0.06%,1.69%,1.87%,3.37%,$41,850.00,$53,676.00,$34,720.00,$25,614.00,$21,265.00,5.50%,9.50%,9.90%,6.10%
Laurel,99.49%,,0.20%,,0.10%,0.10%,0.10%,0.30%,,,,,,,,,
Lawrence,98.40%,,,,,1.60%,,1.60%,,,,,,,,,
Lebanon,100.00%,,,,,,,,,,,,,,,,
Leigh,99.55%,,,,,,0.45%,1.81%,,,,,,,,,
Lemoyne,,,,,,,,,,,,,,,,,
Leshara,89.19%,,1.80%,,,5.41%,3.60%,4.50%,,,,,,,,,
Lewellen,93.97%,1.06%,0.71%,1.06%,,1.06%,2.13%,1.77%,,,,,,,,,
Lewiston,98.84%,,,1.16%,,,,,,,,,,,,,
Lexington,64.20%,0.44%,1.17%,1.10%,0.02%,30.78%,2.30%,51.15%,,,,,,,,,
Liberty,93.02%,,3.49%,,,1.16%,2.33%,3.49%,,,,,,,,,
Lincoln,86.00%,3.80%,0.80%,3.80%,0.10%,2.50%,3.00%,6.30%,,,,,,,,,
Lincoln County,94.70%,0.54%,0.51%,0.37%,0.02%,2.65%,1.21%,5.43%,$36,568.00,$45,185.00,$36,244.00,$20,252.00,$18,696.00,7.20%,9.70%,12.10%,9.30%
Lindsay,100.00%,,,,,,,0.36%,,,,,,,,,
Lindy,,,,,,,,,,,,,,,,,
Linwood,99.15%,,,,,0.85%,,2.54%,,,,,,,,,
Lisco,100.00%,,,,,,,2.94%,$33,750.00,$38,333.00,$29,583.00,$27,917.00,$17,314.00,12.50%,24.20%,0.00%,25.00%
Litchfield,100.00%,,,,,,,1.07%,,,,,,,,,
Lodgepole,99.14%,,0.57%,0.29%,,,,3.45%,,,,,,,,,
Logan County,98.58%,0.13%,1.03%,,,,0.26%,0.90%,$33,125.00,$38,958.00,$26,250.00,$18,906.00,$14,937.00,6.50%,10.50%,13.10%,9.60%
Loma,100.00%,,,,,,,,,,,,,,,,
Long Pine,99.12%,,,0.29%,,,0.59%,1.47%,,,,,,,,,
Loomis,97.98%,,,,,1.01%,1.01%,1.26%,,,,,,,,,
Lorenzo,,,,,,,,,,,,,,,,,
Loretto,,,,,,,,,,,,,,,,,
Lorton,100.00%,,,,,,,,,,,,,,,,
Louisville,98.66%,,,0.48%,0.10%,0.29%,0.48%,1.91%,,,,,,,,,
Loup City,98.70%,,0.10%,0.40%,,0.20%,0.60%,1.60%,,,,,,,,,
Loup County,98.88%,,0.28%,0.14%,,0.42%,0.28%,1.69%,$26,250.00,$27,788.00,$20,515.00,$20,972.00,$12,427.00,14.20%,17.70%,22.90%,11.60%
Lushton,100.00%,,,,,,,,,,,,,,,,
Lyman,76.96%,,0.24%,1.43%,0.24%,19.95%,1.19%,34.44%,,,,,,,,,
Lynch,96.28%,,1.86%,0.37%,,,1.49%,,$25,333.00,$29,792.00,$23,571.00,$24,583.00,$15,702.00,5.20%,11.00%,22.00%,8.00%
Lyons,98.13%,0.31%,0.21%,0.10%,0.10%,0.93%,0.21%,5.19%,$28,804.00,$35,625.00,$27,563.00,$20,250.00,$16,368.00,6.70%,9.20%,10.30%,8.20%
Macy,2.30%,,96.44%,0.10%,,0.21%,0.94%,1.78%,$19,500.00,$19,417.00,$19,688.00,$20,625.00,$5,640.00,46.20%,49.10%,51.10%,50.00%
Madison,75.37%,0.63%,0.17%,0.21%,0.08%,22.48%,1.06%,33.88%,,,,,,,,,
Madison County,91.35%,0.94%,1.19%,0.40%,0.03%,5.06%,1.03%,8.64%,$35,807.00,$45,073.00,$30,631.00,$21,343.00,$16,804.00,7.50%,11.20%,13.00%,11.50%
Madrid,97.36%,,0.38%,,,2.26%,,7.17%,,,,,,,,,
Magnet,94.94%,,3.80%,,,,1.27%,,,,,,,,,,
Malcolm,98.79%,,,0.97%,,,0.24%,0.48%,,,,,,,,,
Malmo,98.17%,,,1.83%,,,,0.92%,,,,,,,,,
Manley,96.86%,,,,,,3.14%,0.52%,,,,,,,,,
Marquette,98.94%,,,,,0.71%,0.35%,1.42%,,,,,,,,,
Marsland,,,,,,,,,,,,,,,,,
Martell,,,,,,,,,,,,,,,,,
Martin,,,,,,,,,,,,,,,,,
Martinsburg,99.03%,,,,,,0.97%,1.94%,,,,,,,,,
Mascot,,,,,,,,,,,,,,,,,
Maskell,100.00%,,,,,,,,,,,,,,,,
Mason City,94.38%,,3.37%,,,,2.25%,0.56%,,,,,,,,,
Max,,,,,,,,,,,,,,,,,
Maxwell,97.78%,0.63%,,,,,1.59%,2.86%,,,,,,,,,
Maywood,97.89%,,0.91%,,,0.30%,0.91%,0.91%,,,,,,,,,
McCook,97.37%,0.18%,0.45%,0.18%,,0.91%,0.91%,2.53%,,,,,,,,,
McCool Junction,99.22%,,,,,0.52%,0.26%,1.56%,,,,,,,,,
McGrew,90.29%,,,,,5.83%,3.88%,15.53%,,,,,,,,,
McLean,100.00%,,,,,,,,,,,,,,,,
McPherson County,97.94%,,0.50%,0.38%,,1.69%,,1.50%,$25,750.00,$31,250.00,$25,192.00,$13,393.00,$13,055.00,14.00%,16.20%,21.70%,17.30%
Mead,98.76%,,,0.18%,,0.18%,0.89%,2.13%,,,,,,,,,
Meadow Grove,95.18%,0.32%,2.57%,0.32%,,0.96%,0.64%,1.93%,,,,,,,,,
Melbeta,100.00%,,,,,,,7.97%,,,,,,,,,
Memphis,94.34%,,1.89%,,,,3.77%,3.77%,,,,,,,,,
Merna,98.47%,0.51%,0.51%,,,0.26%,0.26%,1.28%,,,,,,,,,
Merrick County,98.32%,0.22%,0.10%,0.21%,0.01%,0.67%,0.48%,2.05%,$34,961.00,$39,729.00,$26,998.00,$19,828.00,$15,958.00,7.00%,8.90%,9.70%,9.20%
Merriman,93.22%,,3.39%,,,,3.39%,,,,,,,,,,
Milburn,,,,,,,,,,,,,,,,,
Milford,97.83%,0.24%,0.29%,0.05%,0.05%,0.68%,0.87%,1.50%,,,,,,,,,
Miller,100.00%,,,,,,,,$33,125.00,$36,875.00,$35,000.00,$16,875.00,$13,968.00,0.00%,4.10%,,
Milligan,98.10%,,0.95%,,,,0.95%,0.32%,,,,,,,,,
Mills,,,,,,,,,,,,,,,,,
Minatare,84.81%,0.25%,1.23%,,,10.37%,3.33%,22.22%,,,,,,,,,
Minden,98.65%,0.17%,0.24%,0.10%,,0.44%,0.40%,2.33%,,,,,,,,,
Mitchell,86.24%,0.11%,0.38%,0.66%,0.11%,11.41%,1.09%,22.06%,,,,,,,,,
Monroe,98.37%,,,,0.33%,1.30%,,1.63%,,,,,,,,,
Moorefield,100.00%,,,,,,,,,,,,,,,,
Morrill,91.75%,0.10%,1.46%,0.52%,,5.64%,0.52%,13.69%,,,,,,,,,
Morrill County,93.68%,0.07%,0.72%,0.22%,,4.12%,1.19%,10.09%,$30,235.00,$36,673.00,$27,107.00,$19,271.00,$14,725.00,10.00%,14.70%,20.00%,10.30%
Morse Bluff,100.00%,,,,,,,1.49%,,,,,,,,,
Mullen,98.78%,,0.41%,0.20%,,0.20%,0.41%,1.22%,,,,,,,,,
Murdock,98.51%,,0.37%,0.37%,,,0.74%,,,,,,,,,,
Murray,97.71%,,,1.25%,,0.62%,0.42%,1.66%,,,,,,,,,
Nance County,98.39%,,0.37%,0.05%,,0.45%,0.74%,1.14%,$31,267.00,$38,717.00,$25,349.00,$19,044.00,$16,886.00,10.20%,13.10%,17.20%,9.30%
Naper,99.05%,,,,,,0.95%,0.95%,,,,,,,,,
Naponee,99.24%,,,,,,0.76%,0.76%,,,,,,,,,
Nashville,,,,,,,,,,,,,,,,,
Nebraska City,96.00%,0.37%,0.30%,0.37%,0.07%,2.01%,0.87%,4.40%,,,,,,,,,
Nehawka,96.12%,,0.86%,,,0.43%,2.59%,1.72%,,,,,,,,,
Neligh,98.97%,,,,,0.55%,0.48%,1.45%,,,,,,,,,
Nelson,99.49%,,,,,,0.51%,1.19%,,,,,,,,,
Nemaha,98.88%,,,1.12%,,,,0.56%,$29,375.00,$35,938.00,$31,563.00,$23,125.00,$13,409.00,6.80%,9.30%,11.50%,11.10%
Nemaha County,97.60%,0.36%,0.30%,0.59%,0.04%,0.37%,0.74%,1.00%,$32,588.00,$43,780.00,$30,956.00,$19,263.00,$17,004.00,8.30%,12.60%,13.20%,13.50%
Nenzel,100.00%,,,,,,,,,,,,,,,,
Newcastle,100.00%,,,,,,,0.67%,,,,,,,,,
Newman Grove,90.72%,,0.25%,1.00%,,7.53%,0.50%,13.17%,,,,,,,,,
Newport,98.98%,,1.02%,,,,,2.04%,,,,,,,,,
Nickerson,83.76%,0.70%,,,,12.76%,2.78%,22.51%,,,,,,,,,
Niobrara,86.54%,,10.29%,,0.53%,0.53%,2.11%,2.37%,,,,,,,,,
Nora,100.00%,,,,,,,,,,,,,,,,
Norden,,,,,,,,,,,,,,,,,
Norfolk,91.41%,1.16%,1.53%,0.48%,0.03%,4.19%,1.19%,7.61%,,,,,,,,,
Norman,97.96%,,,,,2.04%,,8.16%,,,,,,,,,
North Bend,99.34%,0.08%,0.16%,0.08%,,0.16%,0.16%,0.82%,,,,,,,,,
North Loup,97.35%,,,,,1.77%,0.88%,2.36%,,,,,,,,,
North Platte,93.47%,0.71%,0.64%,0.39%,0.03%,3.30%,1.45%,6.68%,,,,,,,,,
Nuckolls County,98.91%,0.02%,0.06%,0.16%,,0.53%,0.32%,1.01%,$28,958.00,$35,018.00,$24,533.00,$17,806.00,$15,608.00,6.50%,11.20%,16.70%,8.90%
O%27Neill,98.53%,0.03%,0.43%,0.16%,,0.40%,0.46%,1.18%,$30,815.00,$40,063.00,$28,614.00,$18,627.00,$15,998.00,5.00%,8.50%,3.40%,12.30%
Oak,100.00%,,,,,,,,,,,,,,,,
Oakdale,98.84%,,0.87%,,,0.29%,,0.58%,,,,,,,,,
Oakland,98.68%,,0.22%,0.15%,,,0.95%,0.73%,,,,,,,,,
Obert,100.00%,,,,,,,,,,,,,,,,
Oconto,100.00%,,,,,,,3.55%,,,,,,,,,
Octavia,86.21%,,,,,12.41%,1.38%,17.24%,,,,,,,,,
Odell,97.97%,,2.03%,,,,,1.45%,,,,,,,,,
Odessa,,,,,,,,,,,,,,,,,
Offutt Air Force Base,,,,,,,,,,,,,,,,,
Offutt Air Force Base Nebraska,78.00%,10.40%,0.70%,2.70%,0.30%,3.60%,4.30%,7.40%,$36,742.00,$36,619.00,$25,391.00,$21,593.00,$11,580.00,4.40%,5.60%,7.10%,0.00%
Ogallala,96.45%,0.02%,0.87%,0.22%,,1.68%,0.75%,4.79%,,,,,,,,,
Ohiowa,94.37%,0.70%,,,,2.11%,2.82%,7.04%,,,,,,,,,
Omaha,78.40%,13.30%,0.70%,1.70%,0.10%,3.90%,1.90%,7.50%,$40,006.00,$50,821.00,$34,301.00,$26,652.00,$21,756.00,7.80%,11.30%,15.60%,7.40%
Ong,100.00%,,,,,,,,,,,,,,,,
Orchard,100.00%,,,,,,,,,,,,,,,,
Ord,97.71%,0.22%,0.48%,0.18%,0.13%,0.79%,0.48%,2.25%,,,,,,,,,
Orleans,98.82%,,0.24%,0.24%,,,0.71%,1.18%,,,,,,,,,
Osceola,99.57%,,0.33%,,,,0.11%,0.43%,,,,,,,,,
Oshkosh,99.44%,,0.11%,0.11%,,,0.34%,1.92%,,,,,,,,,
Osmond,98.24%,0.13%,0.25%,0.63%,,0.75%,,1.26%,,,,,,,,,
Otoe,99.54%,,,,,,0.46%,0.46%,,,,,,,,,
Otoe County,97.42%,0.29%,0.22%,0.25%,0.03%,1.14%,0.65%,2.45%,$37,302.00,$45,295.00,$30,682.00,$21,520.00,$17,752.00,5.90%,8.10%,9.30%,7.70%
Overland,,,,,,,,,,,,,,,,,
Overton,92.72%,0.31%,0.46%,0.15%,,5.42%,0.93%,9.13%,,,,,,,,,
Oxford,98.17%,0.11%,0.57%,,,,1.14%,0.34%,,,,,,,,,
Page,100.00%,,,,,,,,,,,,,,,,
Palisade,96.63%,0.26%,0.52%,,,,2.59%,0.78%,$25,417.00,$31,635.00,$21,875.00,$18,750.00,$13,106.00,12.90%,20.80%,38.00%,9.50%
Palmer,98.94%,,,0.21%,,0.64%,0.21%,1.69%,,,,,,,,,
Palmyra,98.72%,0.18%,,,,0.18%,0.92%,1.83%,,,,,,,,,
Panama,98.81%,0.79%,,0.40%,,,,0.79%,,,,,,,,,
Papillion,90.70%,3.30%,0.40%,1.50%,,1.50%,2.70%,5.20%,,,,,,,,,
Parks,,,,,,,,,,,,,,,,,
Paul,,,,,,,,,,,,,,,,,
Pawnee City,99.13%,,0.19%,0.10%,,,0.58%,0.68%,,,,,,,,,
Pawnee County,98.87%,,0.19%,0.26%,,0.03%,0.65%,0.68%,$29,000.00,$36,326.00,$24,770.00,$17,976.00,$16,687.00,6.80%,11.00%,13.60%,11.80%
Paxton,97.72%,0.49%,0.49%,0.16%,,0.33%,0.81%,1.63%,,,,,,,,,
Pender,98.34%,0.09%,0.78%,,,0.26%,0.52%,0.78%,,,,,,,,,
Perkins County,97.69%,0.03%,0.28%,0.22%,,1.34%,0.44%,2.31%,$34,205.00,$42,112.00,$28,438.00,$19,881.00,$17,830.00,9.50%,13.60%,20.10%,8.90%
Peru,96.66%,0.35%,0.18%,0.35%,,1.76%,0.70%,2.99%,,,,,,,,,
Petersburg,97.59%,,,,,1.87%,0.53%,1.87%,,,,,,,,,
Phelps County,97.79%,0.11%,0.28%,0.28%,,0.79%,0.75%,2.26%,$37,319.00,$44,943.00,$28,962.00,$21,741.00,$19,044.00,6.20%,8.90%,12.10%,7.70%
Phillips,99.40%,,,,,,0.60%,2.08%,,,,,,,,,
Pickrell,99.45%,0.55%,,,,,,0.55%,$36,250.00,$54,375.00,$35,417.00,$23,750.00,$16,997.00,0.00%,9.70%,0.00%,19.40%
Pierce,99.10%,,0.23%,0.11%,0.06%,0.23%,0.28%,0.73%,,,,,,,,,
Pierce County,98.65%,0.08%,0.36%,0.20%,0.03%,0.23%,0.46%,0.71%,$32,239.00,$40,500.00,$26,563.00,$20,237.00,$15,980.00,8.80%,11.80%,14.20%,12.90%
Pilger,97.62%,,0.53%,,,0.79%,1.06%,1.85%,,,,,,,,,
Plainview,97.71%,0.15%,1.03%,0.44%,,,0.67%,0.37%,,,,,,,,,
Platte Center,96.94%,0.28%,,1.39%,,0.28%,1.11%,1.11%,,,,,,,,,
Platte County,94.29%,0.35%,0.28%,0.40%,0.03%,3.49%,1.15%,6.54%,$39,359.00,$47,776.00,$30,672.00,$21,842.00,$18,064.00,5.40%,7.70%,9.00%,6.80%
Plattsmouth,97.36%,0.30%,0.51%,0.52%,0.01%,0.46%,0.83%,2.00%,,,,,,,,,
Pleasant Dale,97.96%,,1.22%,,,,0.82%,0.82%,,,,,,,,,
Pleasanton,99.70%,,,,,,0.30%,1.20%,,,,,,,,,
Plymouth,99.37%,,,,,0.42%,0.21%,0.84%,$37,159.00,$42,813.00,$27,054.00,$19,531.00,$16,463.00,1.50%,4.80%,1.70%,14.40%
Polk,100.00%,,,,,,,0.62%,,,,,,,,,
Polk County,98.92%,0.02%,0.28%,0.09%,,0.28%,0.41%,1.08%,$37,819.00,$45,081.00,$30,286.00,$19,595.00,$17,934.00,4.40%,5.80%,7.20%,4.70%
Ponca,96.89%,,0.56%,,,0.94%,1.60%,2.64%,,,,,,,,,
Poole,,,,,,,,,,,,,,,,,
Potter,97.95%,,0.26%,,,0.77%,1.03%,2.31%,$28,750.00,$37,000.00,$26,932.00,$24,500.00,$14,344.00,13.50%,17.80%,19.50%,20.80%
Prague,97.98%,,,0.29%,,0.29%,1.45%,1.16%,,,,,,,,,
Prairie Home,,,,,,,,,,,,,,,,,
Preston,78.00%,,16.00%,,,6.00%,,10.00%,,,,,,,,,
Primrose,97.10%,,,,,,2.90%,1.45%,,,,,,,,,
Princeton,,,,,,,,,,,,,,,,,
Prosser,98.94%,,,,,1.06%,,2.13%,,,,,,,,,
Purdum,,,,,,,,,,,,,,,,,
Raeville,100.00%,,,,,,,,,,,,,,,,
Ragan,100.00%,,,,,,,2.17%,,,,,,,,,
Ralston,94.96%,1.24%,0.16%,1.16%,,1.58%,0.86%,4.39%,,,,,,,,,
Randolph,98.95%,0.10%,0.31%,0.31%,,0.21%,0.10%,0.21%,,,,,,,,,
Ravenna,98.96%,,,0.15%,,0.37%,0.52%,0.82%,,,,,,,,,
Raymond,97.85%,0.54%,,,,,1.61%,,,,,,,,,,
Red Cloud,97.35%,0.18%,,0.97%,,0.18%,1.33%,0.97%,$26,389.00,$34,038.00,$26,364.00,$17,232.00,$14,772.00,8.40%,13.30%,20.90%,10.10%
Red Willow County,97.55%,0.16%,0.38%,0.17%,0.02%,0.93%,0.80%,2.45%,$32,293.00,$40,279.00,$27,768.00,$18,768.00,$16,303.00,7.60%,9.60%,11.40%,7.60%
Republican City,99.52%,,,,,,0.48%,0.96%,,,,,,,,,
Rescue,,,,,,,,,,,,,,,,,
Reynolds,96.59%,,,2.27%,,,1.14%,,,,,,,,,,
Richardson County,95.65%,0.19%,2.32%,0.15%,,0.22%,1.48%,1.05%,$29,884.00,$39,779.00,$25,938.00,$18,775.00,$16,460.00,6.30%,10.10%,10.50%,11.50%
Richfield,,,,,,,,,,,,,,,,,
Richland,97.75%,1.12%,1.12%,,,,,1.12%,,,,,,,,,
Rising City,99.48%,,,,,0.52%,,0.52%,,,,,,,,,
Riverdale,99.53%,,,,,,0.47%,,,,,,,,,,
Riverton,98.62%,,,0.69%,,,0.69%,2.07%,,,,,,,,,
Roca,98.64%,,0.45%,,,,0.91%,0.91%,,,,,,,,,
Rock County,99.03%,,0.46%,0.17%,,0.06%,0.28%,0.51%,$25,795.00,$29,917.00,$24,167.00,$16,490.00,$14,350.00,17.70%,21.80%,36.30%,14.00%
Rockville,100.00%,,,,,,,1.80%,,,,,,,,,
Rogers,82.11%,,,,,17.89%,,29.47%,,,,,,,,,
Rosalie,86.08%,,11.86%,,,,2.06%,,,,,,,,,,
Roscoe,,,,,,,,,,,,,,,,,
Rose,,,,,,,,,,,,,,,,,
Roseland,95.04%,,1.24%,1.24%,,2.07%,0.41%,3.72%,,,,,,,,,
Royal,100.00%,,,,,,,,,,,,,,,,
Rulo,75.66%,,23.45%,,,,0.88%,0.44%,,,,,,,,,
Rushville,77.68%,0.10%,18.32%,,,0.30%,3.60%,2.30%,,,,,,,,,
Ruskin,95.90%,,,,,3.59%,0.51%,6.15%,,,,,,,,,
Saint Mary,,,,,,,,,,,,,,,,,
Salem,96.38%,0.72%,0.72%,,,0.72%,1.45%,1.45%,,,,,,,,,
Saline County,92.99%,0.36%,0.38%,1.70%,0.03%,3.40%,1.15%,6.58%,$35,914.00,$44,199.00,$30,467.00,$22,690.00,$16,287.00,6.40%,9.40%,8.90%,9.00%
Santee,7.28%,,89.07%,,,1.66%,1.99%,0.99%,,,,,,,,,
Sarben,,,,,,,,,,,,,,,,,
Sargent,97.84%,,0.77%,0.31%,,0.77%,0.31%,2.16%,,,,,,,,,
Saronville,96.72%,1.64%,,,,1.64%,,1.64%,,,,,,,,,
Sarpy County,89.18%,4.36%,0.42%,1.90%,0.09%,1.86%,2.20%,4.37%,$53,804.00,$59,723.00,$37,230.00,$26,816.00,$21,985.00,3.10%,4.20%,5.30%,3.30%
Saunders County,98.49%,0.11%,0.29%,0.22%,0.01%,0.35%,0.55%,1.03%,$42,173.00,$49,443.00,$33,309.00,$22,922.00,$18,392.00,5.30%,6.60%,7.30%,7.00%
Schuyler,69.30%,0.11%,0.26%,0.28%,0.24%,27.37%,2.44%,45.11%,,,,,,,,,
Scotia,94.16%,3.90%,,,,0.32%,1.62%,0.65%,,,,,,,,,
