NAME	BD_NAME	BD	DD_NAME	DD
Edwin_C._Johnson	George William Norris	1861-07-11	Harold G. Mosier	August 7	 1971
Edwin_D._Morgan	George William Palmer (New York)	1818-01-13	Harold H. Burton	October 28	 1964
Edwin_D._Ricketts	George Williams Cassidy	1836-04-25	Harold H. Velde	September 1	 1985
Edwin_Denby_(politician)	George Winthrop Fairchild	1854-05-06	Harold Hughes	October 23	 1996
Edwin_Duing_Eshleman	George Wolf	1777-08-12	Harold K. Claypool	August 2	 1958
Edwin_Durno	Georgia Lee Lusk	1893-05-12	Harold Knutson	August 21	 1953
Edwin_E._Roberts	Gerald Ford	1913-07-14	Harold L. Runnels	August 5	 1980
Edwin_E._Willis	Gerald J. Boileau	1900-01-15	Harold Lovre	January 17	 1972
Edwin_Edwards	Gerald P. Nye	1892-12-19	Harold M. Ryan	March 8	 2007
Edwin_Einstein	Gerald T. Flynn	1910-10-07	Harold Patten	September 6	 1969
Edwin_F._Ladd	Geraldine Ferraro	1935-08-26	Harold R. Collier	January 17	 2006
Edwin_F._Sweet	Gerrit Y. Lansing	1783-08-04	Harold S. Sawyer	April 3	 2003
Edwin_Flye	Gerry Connolly	1950-03-30	Harold S. Tolley	May 20	 1956
Edwin_Gray	Gerry Sikorski	1948-04-26	Harold T. Johnson	March 16	 1988
Edwin_H._Conger	Gerry Studds	1937-05-12	Harold Volkmer	April 16	 2011
Edwin_H._May_Jr.	Gerry Whiting Hazelton	1829-02-24	Harold Washington	November 25	 1987
Edwin_Hallowell	Gershom Powers	1789-07-11	Harris Ellsworth	February 7	 1986
Edwin_Hanson_Webster	Gibson Atherton	1831-01-19	Harris Jacob Bixler	April 29	 1941
Edwin_Hickman_Ewing	Gideon C. Moody	1832-10-16	Harris M. Plaisted	January 31	 1898
Edwin_J._Jorden	Gideon Gardner	1759-05-30	Harris McDowell	November 1988
Edwin_Keith_Thomson	Gideon Olin	1743-11-02	Harris Wofford	January 21	 2019
Edwin_L._Mechem	Gideon Tomlinson	1780-12-31	Harrison A. Williams	November 17	 2001
Edwin_Le_Roy_Antony	Gil Cisneros	1971-02-12	Harrison G. O. Blake	April 16	 1876
Edwin_M._Schaefer	Gil Gutknecht	1951-03-20	Harrison Gray Otis (politician)	October 28	 1848
Edwin_N._Hubbell	Gilbert A. Currie	1882-09-19	Harrison H. Riddleberger	January 24	 1890
Edwin_O._Stanard	Gilbert A. Pierce	1839-01-11	Harrison Henry Atwood	October 22	 1954
Edwin_R._Meade	Gilbert De La Matyr	1825-07-08	Harrison Kelley	July 24	 1897
Edwin_R._Reynolds	Gilbert Gude	1923-03-09	Harry A. Richardson	June 16	 1928
Edwin_R._V._Wright	Gilbert Hitchcock	1859-09-18	Harry Allison Estep	February 11	 1968
Edwin_Reinecke	Gilbert L. Laws	1838-03-11	Harry B. Coffee	October 3	 1972
Edwin_S._Broussard	Gilbert M. Woodward	1835-12-25	Harry B. Hawes	July 31	 1947
Edwin_S._Johnson	Gillis William Long	1923-05-04	Harry C. Gahn	November 2	 1962
Edwin_S._Underhill	Gilman Marston	1811-08-20	Harry Darby	January 17	 1987
Edwin_Sylvanus_Osborne	Ginery Twichell	1811-08-26	Harry E. Rowbottom	March 22	 1934
Edwin_V._Champion	Ginny Brown-Waite	1943-10-05	Harry F. Byrd Jr.	July 30	 2013
Edwin_W._Higgins	Gladys Pyle	1890-10-04	Harry F. Byrd Sr.	October 20	 1966
Edwin_W._Keightley	Gladys Spellman	1918-03-01	Harry G. Haskell Jr.	January 16	 2020
Edwin_Willits	Glen Browder	1943-01-15	Harry Gandy	August 15	 1957
Edwin_Y._Webb	Glen H. Taylor	1904-04-12	Harry H. Dale	November 17	 1935
Effiegene_Locke_Wingo	Glenard P. Lipscomb	1915-08-19	Harry H. Mason	March 10	 1946
Effingham_Lawrence	Glenn Andrews	1909-01-15	Harry H. Pratt	November 13	 1932
Egbert_Ludovicus_Viele	Glenn Cunningham (Nebraska politician)	1912-09-10	Harry H. Seldomridge	November 2	 1927
Egbert_Ten_Eyck	Glenn English	1940-11-30	Harry Hibbard	July 28	 1872
Einar_Hoidale	Glenn Grothman	1955-07-03	Harry Irving Thayer	March 10	 1926
Ela_Collins	Glenn M. Anderson	1913-02-21	Harry L. Haines	March 29	 1947
Elaine_Edwards	Glenn Nye	1974-09-09	Harry L. Maynard	October 23	 1922
Elaine_Luria	Glenn Poshard	1945-10-30	Harry Lancaster Towe	February 4	 1991
Elbert_D._Thomas	Glenn Thompson (politician)	1959-07-27	Harry Lane	May 23	 1917
Elbert_H._Hubbard	Glenni William Scofield	1817-03-11	Harry Lane Englebright	May 13	 1943
Elbert_S._Brigham	Gloria Negrete McLeod	1941-09-06	Harry Libbey	September 30	 1913
Elbert_S._Martin	Glover H. Cary	1885-05-01	Harry M. Coudrey	July 5	 1930
Elbridge_G._Lapham	Godfrey G. Goodwin	1873-01-11	Harry M. Wurzbach	November 6	 1931
Elbridge_G._Spaulding	Goldsmith W. Hewitt	1834-02-14	Harry N. Routzohn	April 14	 1953
Elbridge_Gerry	Goodloe Byron	1929-06-22	Harry P. Beam	December 31	 1967
Elbridge_Gerry_(Maine)	Gordon Browning	1889-11-22	Harry P. Cain	March 3	 1979
Eldon_Rudd	Gordon Canfield	1898-04-15	Harry P. Jeffrey	January 4	 1997
Eldred_Simkins	Gordon H. Scherer	1906-12-26	Harry R. Sheppard	April 28	 1969
Eleazer_Wheelock_Ripley	Gordon J. Humphrey	1940-10-09	Harry S. New	May 9	 1937
Eleutheros_Cooke	Gordon J. Russell	1859-12-22	Harry S. Truman	December 26	 1972
Eli_Jones_Henkle	Gordon L. Allott	1907-01-02	Harry Sandager	December 24	 1955
Eli_M._Saulsbury	Gordon L. McDonough	1895-01-02	Harry Sauthoff	June 16	 1966
Eli_P._Ashmun	Gouverneur Morris	1752-01-30	Harry W. Griswold	July 4	 1939
Eli_Perry	Grace Meng	1975-10-01	Harvey Butler Fergusson	June 10	 1915
Eli_Sims_Shorter	Grace Napolitano	1936-12-04	Harvey C. Garber	March 23	 1938
Eli_T._Stackhouse	Gracie Pfost	1906-03-12	Harvey H. Johnson	February 4	 1896
Eli_Thayer	Graham Arthur Barden	1896-09-25	Harvey Magee Watterson	October 1	 1891
Eliakim_H._Moore	Graham B. Purcell Jr.	1919-05-05	Harvey Putnam	September 20	 1855
Eliakim_Persons_Walton	Graham H. Chapin	1799-02-10	Harvey Samuel Irwin	September 3	 1916
Eliakim_Sherrill	Graham N. Fitch	1809-12-05	Hastings Keith	July 19	 2005
Elias_B._Holmes	Grant E. Mouser	1868-09-11	Hattie Caraway	December 21	 1950
Elias_Boudinot	Grant E. Mouser Jr.	1895-02-20	Hatton W. Sumners	April 19	 1962
Elias_Brown	Grant Furlong	1886-01-04	Hays B. White	September 29	 1930
Elias_Deemer	Granville Barrere	1829-07-11	Haywood Yancey Riddle	March 28	 1879
Elias_Earle	Green Berry Raum	1829-12-03	Hazel Abel	July 30	 1966
Elias_Florence	Green Berry Samuels	1806-02-01	Heartsill Ragon	September 15	 1940
Elias_Howell	Greenbury L. Fort	1825-10-17	Hector Craig	January 31	 1842
Elias_Kane	Greg Ganske	1949-03-31	Helen Chenoweth-Hage	October 2	 2006
Elias_Keyes	Greg Gianforte	1961-04-17	Helen Delich Bentley	August 6	 2016
Elias_Perkins	Greg J. Holbrock	1906-06-21	Helen Douglas Mankin	July 25	 1956
Elias_S._Holliday	Greg Laughlin	1942-01-21	Helen Gahagan Douglas	June 28	 1980
Elias_W._Leavenworth	Greg Murphy (politician)	1963-03-05	Helen Stevenson Meyner	November 2	 1997
Elias_Whitmore	Greg Pence	1956-11-14	Heman A. Moore	April 3	 1844
Eligius_Fromentin	Greg Stanton	1970-03-08	Henderson H. Carson	October 5	 1971
Elihu_B._Washburne	Greg Steube	1978-05-19	Henderson Lovelace Lanham	November 10	 1957
Elihu_Root	Greg Walden	1957-01-10	Hendrick Bradley Wright	September 2	 1881
Elihu_S._Williams	Gregg Harper	1956-06-01	Henrik Shipstead	June 26	 1960
Elijah_A._Morse	Gregory Meeks	1953-09-25	Henry A. Coffeen	December 9	 1912
Elijah_B._Lewis	Gregory W. Carman	1937-01-31	Henry A. du Pont	December 31	 1926
Elijah_Babbitt	Grenville M. Dodge	1831-04-12	Henry A. Edmundson	December 16	 1890
Elijah_Boardman	Gresham Barrett	1961-02-14	Henry A. Foster	May 11	 1889
Elijah_Brigham	Grove L. Johnson	1841-03-27	Henry A. Houston	April 5	 1925
Elijah_C._Hutchinson	Guilford Wiley Wells	1840-02-14	Henry A. P. Muhlenberg	August 11	 1844
Elijah_Cummings	Guinn Williams	1871-04-22	Henry A. Wise	September 12	 1876
Elijah_H._Mills	Gulian C. Verplanck	1786-08-06	Henry Alden Clark	February 15	 1944
Elijah_Hise	Gurdon S. Mumford	1764-01-29	Henry Aldous Dixon	January 22	 1967
Elijah_Hise_Norton	Gus Bilirakis	1963-02-08	Henry Alexander Scammell Dearborn	June 29	 1851
Elijah_Paine	Gus Savage	1925-10-30	Henry Allen Cooper	March 1	 1931
Elijah_Phister	Gus Yatron	1927-10-16	Henry Augustus Reeves	March 4	 1916
Elijah_Risley	Gustav Kustermann	1850-05-24	Henry B. Anthony	September 2	 1884
Elijah_S._Grammer	Gustav Schleicher	1823-11-19	Henry B. Banning	December 10	 1881
Elijah_Spencer	Gustavus A. Finkelnburg	'	Henry B. Cassel	April 28	 1926
Elijah_V._Brookshire	Gustavus Sessinghaus	1838-11-08	Henry B. Cowles	May 17	 1873
Elijah_Ward	Guy Cordon	1890-04-24	Henry B. Gonzalez	November 28	 2000
Elijah_Webb_Chastain	Guy D. Goff	1866-09-13	Henry B. Lovering	April 5	 1911
Eliot_Engel	Guy Edgar Campbell	1871-10-09	Henry B. Metcalfe	February 7	 1881
Eliphalet_Wickes	Guy Gillette	1879-02-03	Henry B. Payne	September 9	 1896
Elise_Stefanik	Guy J. Swope	1892-12-26	Henry B. Steagall	November 22	 1943
Elisha_D._Cullen	Guy L. Shaw	1881-05-16	Henry Bacon (New York politician)	March 25	 1915
Elisha_E._Meredith	Guy M. Bryan	1821-01-12	Henry Baldwin (judge)	April 21	 1844
Elisha_Embree	Guy Mark Gillette	1879-02-03	Henry Bedinger	November 26	 1858
Elisha_Haley	Guy Molinari	1928-11-23	Henry Bell Van Rensselaer	March 23	 1864
Elisha_I._Winter	Guy Reschenthaler	1983-04-17	Henry Bellmon	September 29	 2009
Elisha_Litchfield	Guy T. Helvering	1878-01-10	Henry Bennett (American politician)	May 10	 1868
Elisha_Mathewson	Guy V. Howard	1879-11-28	Henry Black (Representative)	November 28	 1841
Elisha_Phelps	Gwen Graham	1963-01-31	Henry Bowen	April 20	 1915
Elisha_R._Potter	Gwen Moore	1951-04-18	Henry Bristow	October 11	 1906
Elisha_Reynolds_Potter	H. Allen Smith (California)	1909-10-08	Henry Bruckner	April 14	 1942
Elisha_Standiford	H. Casey Young	1828-12-14	Henry Brush	January 19	 1855
Elisha_Whittlesey	H. Clay Van Voorhis	1852-05-11	Henry Burk	December 5	 1903
Elissa_Slotkin	H. Garland Dupre	1873-07-28	Henry C. Allen	March 7	 1942
Eliza_Jane_Pratt	H. Henry Powers	1835-05-29	Henry C. Brewster	January 29	 1928
Elizabeth_B._Andrews	H. Joel Deckard	1942-03-07	Henry C. Deming	October 8	 1872
Elizabeth_Dole	H. John Heinz III	1938-10-23	Henry C. Hansbrough	November 16	 1933
Elizabeth_Esty	H. R. Gross	1899-06-30	Henry C. Loudenslager	August 12	 1911
Elizabeth_Furse	H. Robert Fowler	1851-02-07	Henry C. Martindale	April 22	 1860
Elizabeth_Hawley_Gasque	Hadwen C. Fuller	1895-08-28	Henry C. Miner	February 22	 1900
Elizabeth_Holtzman	Hakeem Jeffries	1970-08-04	Henry C. Murphy	December 1	 1882
Elizabeth_Kee	Hal Daub	1941-04-23	Henry C. Schadeberg	December 11	 1985
Elizabeth_Warren	Hal Rogers	1937-12-31	Henry C. Snodgrass	April 22	 1931
Elizur_Goodrich	Halbert E. Paine	1826-02-04	Henry Cabot Lodge	November 9	 1924
Elizur_H._Prindle	Hale Boggs	1914-02-15	Henry Cabot Lodge Jr.	February 27	 1985
Elizur_K._Hart	Haley Stevens	1983-06-24	Henry Carl Luckey	December 31	 1956
Ella_Grasso	Hall S. Lusk	1883-09-21	Henry Chapman (American politician)	April 11	 1891
Ellen_Tauscher	Halvor Steenerson	1852-06-30	Henry Clay	June 29	 1852
Ellery_Albee_Hibbard	Hamilton D. Coleman	1845-05-12	Henry Clay Evans	December 12	 1921
Elliott_H._Levitas	Hamilton Fish	1808-08-03	Henry Clay McCormick	May 26	 1902
Elliott_M._Braxton	Hamilton Fish II	1849-04-17	Henry Cooper	May 1	 2011
Elliott_W._Sproul	Hamilton Fish III	1888-12-07	Henry Cornelius Burnett	October 1	 1866
Ellis_E._Patterson	Hamilton Fish IV	1926-06-03	Henry Crocheron	November 8	 1819
Ellis_H._Roberts	Hamilton Fish Kean	1862-02-27	Henry Cullen Adams	July 9	 1906
Ellis_Yarnal_Berry	Hamilton G. Ewart	1849-10-23	Henry D. Clayton	December 21	 1929
Ellison_D._Smith	Hamilton K. Wheeler	1848-08-05	Henry D. Flood	December 8	 1921
Ellsworth_B._Buck	Hampton P. Fulmer	1875-02-03	Henry D. Hatfield	October 23	 1962
Ellsworth_Foote	Hank Brown	1940-02-12	Henry D. McHenry	December 17	 1890
Ellsworth_Raymond_Bathrick	Hank Johnson	1954-10-02	Henry De Lamar Clayton Jr.	December 21	 1929
Elmer_A._Morse	Hannibal Hamlin	1809-08-27	Henry Dearborn	June 6	 1829
Elmer_Austin_Benson	Hannibal Lafayette Godwin	1873-11-03	Henry Dickinson Green	December 29	 1929
Elmer_Burkett	Hansen Clarke	1957-03-02	Henry Dixon Allen	March 9	 1924
Elmer_E._Studley	Happy Chandler	1898-07-14	Henry Dodge	June 19	 1867
Elmer_H._Geran	Harlan Erwin Mitchell	1924-08-17	Henry Donnel Foster	October 16	 1880
Elmer_H._Wene	Harlan Hagen	1914-10-08	Henry Dworshak	July 23	 1962
Elmer_J._Hoffman	Harlan J. Bushfield	1882-08-06	Henry E. Barbour	March 21	 1945
Elmer_J._Holland	Harlan Mathews	1927-01-17	Henry E. Burnham	February 8	 1917
Elmer_L._Fulton	Harley M. Kilgore	1893-01-11	Henry Ellenbogen	July 4	 1985
Elmer_O._Leatherwood	Harley O. Staggers Jr.	1951-02-22	Henry F. Ashurst	May 31	 1962
Elmer_Ryan	Harley Orrin Staggers	1907-08-03	Henry F. Hollis	July 7	 1949
Elmer_Thomas	Harley Rouda	1961-12-10	Henry F. Lawrence	January 12	 1950
Elton_Gallegly	Harmanus Bleecker	1779-10-09	Henry F. Lippitt	December 28	 1933
Elton_Watkins	Harmar D. Denny Jr.	1886-07-02	Henry F. Naphen	June 8	 1905
Elva_R._Kendall	Harmon S. Conger	1816-04-09	Henry F. Thomas	April 16	 1912
Elwood_Hillis	Harold B. McSween	1926-07-19	Henry Frick (politician)	March 1	 1844
Ely_Moore	Harold C. Hollenbeck	1938-12-29	Henry G. Burleigh	August 10	 1900
Elza_Jeffords	Harold C. McGugin	1893-11-22	Henry G. Danforth	April 8	 1918
Emanuel_B._Hart	Harold C. Ostertag	1896-06-22	Henry G. Davis	March 11	 1916
Emanuel_Celler	Harold D. Cooley	1897-07-26	Henry G. Stebbins	December 9	 1881
Emanuel_Cleaver	Harold F. Youngblood	1907-08-07	Henry G. Worthington	July 29	 1909
Emanuel_Shultz	Harold Ford Jr.	1970-05-11	Henry George Jr.	November 14	 1916
Emerson_Etheridge	Harold Ford Sr.	1945-05-20	Henry Glen	January 6	 1814
Emery_D._Potter	Harold G. Hoffman	1896-02-07	Henry Gray Turner	June 9	 1904
Emile_La_Sere	Harold G. Mosier	1889-07-24	Henry H. Chambers	January 24	 1826
Emily_Taft_Douglas	Harold H. Burton	1888-06-22	Henry H. Hathorn	February 20	 1887
Emmet_Byrne	Harold H. Velde	1910-04-01	Henry H. Ross	September 14	 1862
Emmet_O'Neal_(Kentucky)	Harold Hughes	1922-02-10	Henry H. Schwartz	April 24	 1955
Emmett_Marshall_Owen	Harold K. Claypool	1886-06-02	Henry Heitfeld	October 21	 1938
Emmett_Tompkins	Harold Knutson	1880-10-20	Henry Helstoski	December 16	 1999
Emmett_Wilson	Harold L. Runnels	1924-03-17	Henry Horn	January 12	 1862
Emory_B._Pottle	Harold Lovre	1904-01-30	Henry Hubbard	June 5	 1857
Emory_H._Price	Harold M. Ryan	1911-02-06	Henry Hull Carlton	October 26	 1905
Emory_Speer	Harold R. Collier	1915-12-12	Henry Hunter Bryan	May 7	 1835
Enid_Greene_Mickelsen	Harold S. Sawyer	1920-03-21	Henry Hyde	November 29	 2007
Enoch_Lincoln	Harold S. Tolley	1894-01-16	Henry I. Emerson	October 28	 1953
Enos_Hook	Harold T. Johnson	1907-12-02	Henry J. B. Cummings	April 16	 1909
Enos_T._Throop	Harold Vernon Froehlich	1932-05-12	Henry J. Spooner	February 9	 1918
Epaphroditus_Champion	Harold Volkmer	1931-04-04	Henry Jarvis Raymond	June 18	 1869
Ephraim_Bateman	Harold Washington	1922-04-15	Henry Joel Scudder	February 10	 1886
Ephraim_H._Foster	Harris Ellsworth	1899-09-17	Henry Johnson (Louisiana politician)	September 4	 1864
Ephraim_K._Smart	Harris Jacob Bixler	1870-09-16	Henry Justin Allen	January 17	 1950
Ephraim_K._Wilson_II	Harris M. Plaisted	1828-11-02	Henry King (congressman)	July 13	 1861
Ephraim_King_Wilson	Harris McDowell	1906-02-10	Henry Kirke Porter	April 10	 1921
Ephraim_King_Wilson_II	Harris W. Fawell	1929-03-25	Henry L. Bowles	May 17	 1932
Ephraim_Leister_Acker	Harris Wofford	1926-04-09	Henry L. Cake	August 26	 1899
Ephraim_Milton_Woomer	Harrison A. Williams	1919-12-10	Henry L. Dawes	February 5	 1903
Ephraim_R._Eckley	Harrison G. O. Blake	1818-03-17	Henry L. Dickey	May 23	 1910
Eppa_Hunton	Harrison Gray Otis (politician)	1765-10-08	Henry L. Muldrow	March 1	 1905
Erasmus_D._Peck	Harrison H. Riddleberger	1843-10-04	Henry L. Myers	November 11	 1943
Erasmus_W._Beck	Harrison Henry Atwood	1863-08-26	Henry L. Pierce	December 17	 1896
Erastus_Corning	Harrison Kelley	1836-05-12	Henry L. Pinckney	February 3	 1863
Erastus_D._Culver	Harrison Schmitt	1935-07-03	Henry Lee III	March 25	 1818
Erastus_J._Turner	Harry A. Richardson	1853-01-01	Henry Lee Morey	December 29	 1902
Erastus_Root	Harry Allison Estep	1884-02-01	Henry Logan (politician)	March 27	 1830
Erastus_Wells	Harry B. Coffee	1890-03-16	Henry M. Arens	October 6	 1963
Eric_Cantor	Harry B. Hawes	1869-11-15	Henry M. Goldfogle	June 1	 1929
Eric_Fingerhut	Harry C. Gahn	1880-04-26	Henry M. Jackson	September 1	 1983
Eric_Massa	Harry Darby	1895-01-23	Henry M. Ridgely	August 6	 1847
Eric_Swalwell	Harry E. Rowbottom	1884-11-03	Henry M. Youmans	July 8	 1920
Erik_Paulsen	Harry F. Byrd Jr.	1914-12-20	Henry Marchmore Shaw	February 1	 1864
Ernest_E._Wood	Harry F. Byrd Sr.	1887-06-10	Henry Marie Brackenridge	January 18	 1871
Ernest_F._Acheson	Harry G. Haskell Jr.	1921-05-27	Henry Markham	October 9	 1923
Ernest_Greenwood	Harry Gandy	1881-08-13	Henry May (American politician)	September 25	 1866
Ernest_Gruening	Harry H. Dale	1868-12-03	Henry McMorran	July 19	 1929
Ernest_Istook	Harry H. Mason	1873-12-16	Henry Middleton (governor)	June 14	 1846
Ernest_K._Bramblett	Harry H. Pratt	1864-11-11	Henry Mills Fuller	December 26	 1860
Ernest_Lundeen	Harry H. Seldomridge	1864-10-01	Henry Mitchell (New York politician)	January 12	 1856
Ernest_M._Pollard	Harry Hibbard	1816-06-01	Henry Moore Baker	May 30	 1912
Ernest_Robinson_Ackerman	Harry Irving Thayer	1869-09-10	Henry Moore Teller	February 23	 1914
Ernest_S._Brown	Harry Johnston (politician)	1931-12-02	Henry Mower Rice	January 15	 1894
Ernest_W._Gibson_Jr.	Harry L. Haines	1880-02-01	Henry Myer Phillips	August 28	 1884
Ernest_W._McFarland	Harry L. Maynard	1861-06-08	Henry O. Talle	March 14	 1969
Ernest_W._Roberts	Harry Lancaster Towe	1898-11-03	Henry Olin	August 16	 1837
Ernest_Willard_Gibson	Harry Lane	1855-08-28	Henry P. Baldwin	December 31	 1892
Ernie_Fletcher	Harry Lane Englebright	1884-01-02	Henry P. Cheatham	November 29	 1935
Ernie_Konnyu	Harry Libbey	1843-11-22	Henry P. H. Bromwell	January 9	 1903
Errett_P._Scrivner	Harry M. Coudrey	1867-02-28	Henry P. Haun	June 6	 1860
Esbon_Blackmar	Harry M. Wurzbach	1874-05-19	Henry P. Smith III	October 1	 1995
Espy_Van_Horne	Harry Mitchell	1940-07-18	Henry R. Brinkerhoff	April 30	 1844
Esteban_Edward_Torres	Harry N. Routzohn	1881-11-04	Henry R. Gibson	May 25	 1938
Estes_Kefauver	Harry P. Beam	1892-11-23	Henry R. Pease	January 2	 1907
Ethan_A._Brown	Harry P. Cain	1906-01-10	Henry Riggs Rathbone	July 15	 1928
Ether_Shepley	Harry P. Jeffrey	1901-12-26	Henry S. Caulfield	May 11	 1966
Eugene_A._Chappie	Harry R. Sheppard	1885-01-10	Henry S. De Forest	February 13	 1917
Eugene_Atkinson	Harry Reid	1939-12-02	Henry S. Foote	May 19	 1880
Eugene_B._Crowe	Harry S. New	1858-12-31	Henry S. Geyer	March 5	 1859
Eugene_Black_(Texas_politician)	Harry S. Truman	1884-05-08	Henry S. Harris	May 2	 1902
Eugene_Casserly	Harry Sandager	1887-04-12	Henry S. Magoon	March 3	 1889
Eugene_D._Millikin	Harry Sauthoff	1879-06-03	Henry S. Neal	July 13	 1906
Eugene_D._O'Sullivan	Harry Teague	1949-06-29	Henry S. Reuss	January 12	 2002
Eugene_Elliott_Reed	Harvey Butler Fergusson	1848-09-09	Henry Shaw (Massachusetts)	October 17	 1857
Eugene_F._Kinkead	Harvey C. Garber	1866-07-06	Henry Sherman Boutell	March 11	 1926
Eugene_F._Loud	Harvey H. Johnson	1808-09-07	Henry Smith (Wisconsin)	September 16	 1916
Eugene_Foss	Harvey Magee Watterson	1811-11-23	Henry Smith Lane	June 19	 1881
Eugene_Hale	Harvey Putnam	1793-01-05	Henry Snapp	November 26	 1895
Eugene_James_Keogh	Harvey Samuel Irwin	1844-12-10	Henry St. George Tucker III	July 23	 1932
Eugene_Jerome_Hainer	Hastings Keith	1915-11-22	Henry St. George Tucker Sr.	August 28	 1848
Eugene_McCarthy	Hattie Caraway	1878-02-01	Henry St. John (congressman)	May 1869
Eugene_McLanahan_Wilson	Hays B. White	1855-09-21	Henry Swearingen	1849
Eugene_Pierce_Gillespie	Haywood Yancey Riddle	1834-06-20	Henry T. Bannon	September 6	 1950
Eugene_Siler	Hazel Abel	1888-07-10	Henry T. Ellett	October 15	 1887
Eugene_W._Leake	Heartsill Ragon	1885-03-20	Henry Taylor Blow	September 11	 1875
Eugene_Worley	Heath Shuler	1971-12-31	Henry Tazewell	January 24	 1799
Eugenius_Aristides_Nisbet	Heather Wilson	1960-12-30	Henry Teigan	March 12	 1941
Eustace_Gibson	Heidi Heitkamp	1955-10-30	Henry Thomas Rainey	August 19	 1934
Eva_Bowring	Helen Chenoweth-Hage	1938-01-27	Henry Van Aernam	June 1	 1894
Eva_Clayton	Helen Delich Bentley	1923-11-28	Henry Vollmer	August 25	 1930
Evan_Bayh	Helen Douglas Mankin	1896-09-11	Henry W. Blair	March 14	 1920
Evan_E._Settle	Helen Gahagan Douglas	1900-11-25	Henry W. Corbett	March 31	 1903
Evan_Jenkins_(politician)	Helen Stevenson Meyner	1929-03-05	Henry W. Dwight	February 21	 1845
Evan_John_Jones_(politician)	Heman A. Moore	1809-08-27	Henry W. Edwards	July 22	 1847
Evan_Shelby_Alexander	Henderson H. Carson	1893-10-25	Henry W. Keyes	June 19	 1938
Evarts_Worcester_Farr	Henderson Lovelace Lanham	1888-09-14	Henry W. Livingston	December 22	 1810
Everett_Dirksen	Henrik Shipstead	1881-01-08	Henry W. Lord	January 25	 1891
Everett_G._Burkhalter	Henry A. Coffeen	1841-02-14	Henry Waldron	September 13	 1880
Everett_J._Murphy	Henry A. du Pont	1838-07-30	Henry Warner Slocum	April 14	 1894
Everett_Kent	Henry A. Edmundson	1814-06-14	Henry Warren Ogden	July 23	 1905
Everett_Sanders	Henry A. Foster	1800-05-07	Henry Watterson	December 22	 1921
Everette_B._Howard	Henry A. Houston	1847-07-10	Henry White Beeson	October 28	 1863
Everis_A._Hayes	Henry A. P. Muhlenberg	1782-05-13	Henry Wilbur Bentley	January 27	 1907
Ewin_L._Davis	Henry A. Wise	1806-12-03	Henry Williams (Massachusetts)	May 8	 1887
Ezekiel_Bacon	Henry Alden Clark	1850-01-07	Henry Wilson	November 22	 1875
Ezekiel_C._Gathings	Henry Aldous Dixon	1890-06-29	Henry Winter Davis	December 30	 1865
Ezekiel_F._Chambers	Henry Alexander Scammell Dearborn	1783-03-03	Henry Woods (Pennsylvania)	1826
Ezekiel_Gilbert	Henry Augustus Reeves	1832-12-07	Henry Wynkoop	March 25	 1816
Ezekiel_S._Candler_Jr.	Henry B. Anthony	1815-04-01	Henry Y. Cranston	February 12	 1864
Ezekiel_S._Sampson	Henry B. Banning	1836-11-10	Herbert Alton Meyer	October 2	 1950
Ezekiel_Whitman	Henry B. Cassel	1855-10-19	Herbert Covington Bonner	November 7	 1965
Ezra_B._French	Henry B. Cowles	1798-03-18	Herbert E. Hitchcock	February 17	 1958
Ezra_B._Taylor	Henry B. Gonzalez	1916-05-03	Herbert H. Bateman	September 11	 2000
Ezra_Baker	Henry B. Metcalfe	1805-01-20	Herbert H. Lehman	December 5	 1963
Ezra_Butler	Henry B. Payne	1810-11-30	Herbert Harris	December 24	 2014
Ezra_C._Carleton	Henry B. Steagall	1873-05-19	Herbert J. Drane	August 11	 1947
Ezra_C._Gross	Henry Baldwin (judge)	1780-01-14	Herbert J. McGlinchey	June 25	 1992
Ezra_Clark_Jr.	Henry Bedinger	1812-02-03	Herbert Parsons (New York politician)	September 16	 1925
Ezra_Darby	Henry Bell Van Rensselaer	1810-05-14	Herbert Pell	July 17	 1961
Ezra_Dean	Henry Bellmon	1921-09-03	Herbert R. O'Conor	March 4	 1960
Ezra_Meech	Henry Black (Representative)	1783-02-25	Herbert S. Bigelow	November 11	 1951
Ezra_Wheeler	Henry Bonilla	1954-01-02	Herbert S. Walters	August 17	 1973
F._Bradford_Morse	Henry Bowen	1841-12-26	Herbert Tenzer	March 24	 1993
F._Dickinson_Letts	Henry Bristow	1840-06-05	Herbert W. Taylor	October 15	 1931
F._Edward_Hebert	Henry Bruckner	1871-06-17	Herbert Warburton	July 30	 1983
F._Jay_Nimtz	Henry Burk	1850-09-26	Herbert Wesley Cummings	March 4	 1956
F._Ryan_Duffy	Henry C. Allen	1872-05-13	Herman A. Metz	May 17	 1934
Farish_Carter_Tate	Henry C. Deming	1815-05-23	Herman Badillo	December 3	 2014
Fats_Everett	Henry C. Hansbrough	1848-01-30	Herman Carl Andersen	July 26	 1978
Fayette_McMullen	Henry C. Martindale	1780-05-06	Herman Dahle	April 25	 1920
Federalist	Henry C. Miner	1842-03-23	Herman Knickerbocker	January 30	 1855
Felix_Campbell	Henry Cabot Lodge	1850-05-12	Herman L. Humphrey	June 10	 1902
Felix_Grucci	Henry Cabot Lodge Jr.	1902-07-05	Herman Lehlbach	January 11	 1904
