"California Legislative Elections, 1986",,
California's 2nd Senate District – DEM Hold,,
Robert T. Gerringer (L),3252,2.76%
Total Votes,117928,100.00%
,,
California's 42nd Assembly District – GOP Hold,,
Dick Mountjoy (R-inc),82721,72.09%
"Josephine ""Jo"" Smith (D)",32033,27.91%
Total Votes,114754,100.00%
,,
California's 43rd Assembly District – DEM Hold,,
Gray Davis (D-inc),87965,63.78%
"Robert ""Bert"" Malouf (R)",47102,34.15%
Taylor Rhodes (L),2846,2.06%
Total Votes,137913,100.00%
,,
California's 44th Assembly District – DEM Hold,,
Tom Hayden (D-inc),76168,56.14%
David M. Shell (R),54477,40.15%
Neal Arvid Donner (L),3556,2.62%
James A. Sommer (PF),1480,1.09%
Total Votes,135681,100.00%
,,
California's 45th Assembly District – DEM Hold,,
Burt M. Margolin (D-inc),69480,63.15%
"Andrew E. ""Andy"" Jelmert (R)",34265,31.14%
Jenet Johnstone (PF),3981,3.62%
George Abrahams (L),2304,2.09%
Total Votes,110030,100.00%
,,
California's 46th Assembly District – DEM Hold,,
Mike Roos (D-inc),32848,68.35%
Ted Knoll (R),12957,26.96%
John O'Brien (PF),1467,3.05%
"Marel K. ""Bud"" Bates (L)",786,1.64%
Total Votes,48058,100.00%
,,
California's 47th Assembly District – DEM Hold,,
Teresa P. Hughes (D-inc),45039,87.04%
William S. Sanderson (R),6708,12.96%
Total Votes,51747,100.00%
,,
California's 48th Assembly District – DEM Hold,,
Maxine Waters (D-inc),59507,85.76%
"Donald ""Don"" Weiss (R)",9884,14.24%
Total Votes,69391,100.00%
,,
California's 49th Assembly District – DEM Hold,,
Gwen Moore (D-inc),81117,76.01%
Jordan Daniels Jr. (R),25600,23.99%
Total Votes,106717,100.00%
,,
California's 50th Assembly District – DEM Hold,,
Curtis R. Tucker (D-inc),70716,79.50%
G. James Coleman (R),18237,20.50%
Total Votes,88953,100.00%
,,
California's 51st Assembly District – GOP Hold,,
Gerald N. Felando (R-inc),93014,68.70%
Doris G. Tate (D),38406,28.37%
Gregory P. Gilmore (L),3972,2.93%
Total Votes,135392,100.00%
,,
California's 52nd Assembly District – GOP Hold,,
Frank Hill (R-inc),75946,70.23%
Daniel Arguello (D),32189,29.77%
Total Votes,108135,100.00%
,,
California's 53rd Assembly District – DEM Hold,,
"Richard E. ""Dick"" Floyd (D-inc)",49531,58.91%
"Walter R. ""Wally"" Mueller (R)",34555,41.09%
Total Votes,84086,100.00%
,,
California's 54th Assembly District – DEM Hold,,
Frank Vicencia (D-inc),58529,64.78%
"Randolph ""Randy"" Decker (R)",31822,35.22%
Total Votes,90351,100.00%
,,
California's 55th Assembly District – DEM Hold,,
Richard Alatorre (D-inc),44505,70.19%
Keith F. Marsh (R),16967,26.76%
Arthur L. Ruben (L),1938,3.06%
Total Votes,63410,100.00%
,,
California's 56th Assembly District – DEM Hold,,
Gloria Molina (D-inc),26981,81.50%
Donald W. Hyde (R),6124,18.50%
Total Votes,33105,100.00%
,,
California's 57th Assembly District – DEM Hold,,
David Elder (D-inc),49726,66.19%
"Antonio D. ""Tony"" Inocentes (R)",23416,31.17%
Max Gundersheimer (PF),1984,2.64%
Total Votes,75126,100.00%
,,
California's 58th Assembly District – GOP Hold,,
Dennis L. Brown (R-inc),88520,65.37%
Marc A. Wilder (D),41603,30.72%
Sally Ann Michel (PF),5286,3.90%
Total Votes,135409,100.00%
,,
California's 59th Assembly District – DEM Hold,,
Charles M. Calderon (D-inc),55869,67.14%
Barbara A. Kee (R),27339,32.86%
Total Votes,83208,100.00%
,,
California's 60th Assembly District – DEM Hold,,
Sally Tanner (D-inc),44824,67.31%
Elizabeth Van Note (R),21774,32.69%
Total Votes,66598,100.00%
,,
California's 61st Assembly District – GOP Hold,,
Bill Leonard (R-inc),85270,69.24%
Delores Miles Kossman (D),31935,25.93%
Ruth Margie Hart (AI),5938,4.82%
Total Votes,123143,100.00%
,,
California's 62nd Assembly District – GOP Hold,,
"William H. ""Bill"" Lancaster (R-inc)",83301,69.91%
"Richard A. ""Dick"" Santell (D)",30854,25.89%
Mary Jo McConnaghy (L),5000,4.20%
Total Votes,119155,100.00%
,,
California's 63rd Assembly District – GOP Hold,,
Wayne Grisham (R-inc),53199,55.30%
Dianne R. Xitco (D),43004,44.70%
Total Votes,96203,100.00%
,,
California's 64th Assembly District – GOP Hold,,
Ross Johnson (R-inc),86776,70.45%
Mary Bruns Capdevielle (D),36396,29.55%
Total Votes,123172,100.00%
,,
California's 65th Assembly District – GOP Hold,,
Charles W. Bader (R-inc),70483,67.71%
Harold A. Jackson Jr. (D),33606,32.29%
Total Votes,104089,100.00%
,,
California's 66th Assembly District – DEM Hold,,
Jerry Eaves (D),52588,55.79%
"Robert L. ""Bob"" Henley (R)",39935,42.37%
Howard G. Louks (PF),1733,1.84%
Total Votes,94256,100.00%
,,
California's 67th Assembly District – GOP Hold,,
John R. Lewis (R-inc),90730,73.07%
Ray Anderson (D),28035,22.58%
Kathrin L. Abercrombie (PF),5400,4.35%
Total Votes,124165,100.00%
,,
California's 68th Assembly District – DEM Hold,,
Steve Clute (D-inc),59504,52.52%
Gil Olivarria (R),53786,47.48%
Total Votes,113290,100.00%
,,
California's 69th Assembly District – GOP Hold,,
Nolan Frizzelle (R-inc),93068,70.98%
Howard Gensler (D),38046,29.02%
Total Votes,131114,100.00%
,,
California's 70th Assembly District – GOP Hold,,
Gil Ferguson (R),111507,72.66%
Steven Feldman (D),41957,27.34%
Total Votes,153464,100.00%
,,
California's 71st Assembly District – GOP Hold,,
Doris Allen (R-inc),80006,66.84%
John Kanel (D),39699,33.16%
Total Votes,119705,100.00%
,,
California's 72nd Assembly District – DEM Hold,,
Richard H. Robinson (D-inc),37112,50.17%
Dick Longshore (R),36856,49.83%
Total Votes,73968,100.00%
,,
California's 73rd Assembly District – GOP Hold,,
David G. Kelley (R-inc),93545,67.99%
"S. R. ""Al"" Lopez (D)",44037,32.01%
Total Votes,137582,100.00%
,,
California's 74th Assembly District – GOP Hold,,
Robert Frazee (R-inc),88750,74.28%
Gene R. Ramos (D),30723,25.72%
Total Votes,119473,100.00%
,,
California's 75th Assembly District – GOP Hold,,
Sunny Mojonnier (R-inc),98110,71.57%
Richard Wildman (D),38974,28.43%
Total Votes,137084,100.00%
,,
California's 76th Assembly District – GOP Hold,,
Bill Bradley (R-inc),104560,77.50%
Harold H. Polesetsky (D),30363,22.50%
Total Votes,134923,100.00%
,,
California's 77th Assembly District – GOP Hold,,
Larry Stirling (R-inc),108742,100.00%
,,
California's 78th Assembly District – DEM Hold,,
Lucy Killea (D-inc),83193,65.65%
Patrick M. Boarman (R),40092,31.64%
Fritz Sands (L),3430,2.71%
Total Votes,126715,100.00%
,,
California's 79th Assembly District – DEM Hold,,
"Peter R. ""Pete"" Chacon (D-inc)",52898,66.90%
Shirley M. Gissendanner (R),23420,29.62%
Donna Tello (L),2750,3.48%
Total Votes,79068,100.00%
,,
California's 80th Assembly District – DEM Hold,,
Steve Peace (D-inc),66318,100.00%
,,
"California legislative elections, 1982",,
California's 2nd Senate District – DEM Hold,,
Barry Keene (D-inc),122176,58.98%
Bill J. Maher (R),79790,38.52%
Charles Garth (L),5192,2.51%
Total Votes,207158,100.00%
,,
California's 4th Senate District – GOP Hold,,
Jim Nielsen (R-inc),145640,61.32%
"D. H. ""Fifi"" Zeff (D)",84565,35.60%
Robert J. Burnside (L),7317,3.08%
Total Votes,237522,100.00%
,,
California's 6th Senate District – DEM Hold,,
Leroy F. Greene (D),135336,53.17%
John T. Doolittle (R),113444,44.57%
Philip L. Sawyer (PF),5776,2.27%
Total Votes,254556,100.00%
,,
California's 8th Senate District – DEM Hold,,
John Francis Foran (D-inc),124892,72.99%
Leanne C. Guth (R),40019,23.39%
Michael E. Mayakis (L),6196,3.62%
Total Votes,171107,100.00%
,,
California's 10th Senate District – DEM Hold,,
Bill Lockyer (D),105813,57.81%
"Gilbert R. ""Gib"" Marguth Jr. (R)",77230,42.19%
Total Votes,183043,100.00%
,,
California's 12th Senate District – DEM Gain,,
Dan McCorquodale (D),80604,48.69%
Dan O'Keefe (R-inc),76327,46.11%
Jim Wilson (L),8613,5.20%
Total Votes,165544,100.00%
,,
California's 14th Senate District – GOP Hold,,
Ken Maddy (R-inc),127980,100.00%
,,
California's 16th Senate District – DEM Hold,,
Walter W. Stiern (D-inc),94983,55.31%
Ann Gutcher (R),76751,44.69%
Total Votes,171734,100.00%
,,
California's 18th Senate District – DEM Hold,,
Gary K. Hart (D),108678,51.32%
Charles R. Imbrecht (R),99540,47.01%
H. Bruce Driscoll (L),3541,1.67%
Total Votes,211759,100.00%
,,
California's 20th Senate District – DEM Hold,,
Alan Robbins (D-inc),85744,54.58%
Elton Skip Michael (R),65874,41.93%
William John Hill III (PF),4652,2.96%
Melinda Pillsbury-Foster (L),823,0.52%
Total Votes,157093,100.00%
,,
California's 22nd Senate District – DEM Hold,,
Herschel Rosenthal (D),146511,63.64%
Earle Robinson (R),73782,32.05%
Phyllis Kaskus (L),9918,4.31%
Total Votes,230211,100.00%
,,
California's 24th Senate District – DEM Hold,,
Art Torres (D),57703,72.13%
Keith F. Marsh (R),20404,25.50%
Stephen I. Malmberg (L),1897,2.37%
Total Votes,80004,100.00%
,,
California's 26th Senate District – DEM Hold,,
Joseph B. Montoya (D-inc),91031,69.29%
Eleanor K. Chow (R),40348,30.71%
Total Votes,131379,100.00%
,,
California's 28th Senate District – DEM Hold,,
Diane Watson (D-inc),132903,74.59%
Oscar Wright (R),45282,25.41%
Total Votes,178185,100.00%
,,
California's 30th Senate District – DEM Hold,,
Ralph C. Dills (D-inc),88668,70.44%
Jack McMurray (R),33464,26.58%
Judith Tomlinson (PF),3744,2.97%
Total Votes,125876,100.00%
,,
California's 32nd Senate District – GOP Gain,,
Edward R. Royce (R),78059,53.86%
Frank P. Barbaro (D),66875,46.14%
Total Votes,144934,100.00%
,,
California's 34th Senate District – DEM Hold,,
Ruben S. Ayala (D-inc),101708,66.90%
Dean L. Kurtz (R),50320,33.10%
Total Votes,152028,100.00%
,,
California's 36th Senate District – DEM Hold,,
Robert B. Presley (D-inc),151739,100.00%
,,
California's 38th Senate District – GOP Hold,,
William A. Craven (R-inc),143585,64.95%
"Daniel F. ""Dan"" Kripke (D)",71554,32.37%
Richard Rider (L),5937,2.69%
Total Votes,221076,100.00%
,,
California's 40th Senate District – DEM Hold,,
Wadie P. Deddeh (D-inc),103651,74.22%
Muriel C. Watson (R),36012,25.78%
Total Votes,139663,100.00%
,,
California's 1st Assembly District – GOP Hold,,
Stan Statham (R-inc),109941,57.76%
Paul Drake (D),80108,42.08%
David Porter Misso (PF),302,0.16%
Total Votes,190351,100.00%
,,
California's 2nd Assembly District – DEM Hold,,
"Daniel E. ""Dan"" Hauser (D)",60610,50.79%
Jerry Partain (R),54945,46.04%
Leota Gould (L),3775,3.16%
Total Votes,119330,100.00%
,,
California's 3rd Assembly District – GOP Hold,,
Wally Herger (R-inc),63907,58.28%
Larry Miles (D),45755,41.72%
Total Votes,109662,100.00%
,,
California's 4th Assembly District – DEM Hold,,
Thomas M. Hannigan (D-inc),64904,66.92%
Rudy Manfredi (R),28121,29.00%
Raymond K. MacKenzie (PF),2082,2.15%
Mark H. Moberg (L),1874,1.93%
Total Votes,96981,100.00%
,,
California's 5th Assembly District – DEM Hold,,
Jean Moorhead Duffy (D-inc),65522,55.13%
Peggy Grenz (R),48810,41.07%
Eric Phelps (L),4527,3.81%
Total Votes,118859,100.00%
,,
California's 6th Assembly District – DEM Hold,,
Lloyd G. Connelly (D),78356,63.63%
"W. S. ""Bill"" Green (R)",40684,33.04%
Candace Sue Dorn (PF),4108,3.34%
Total Votes,123148,100.00%
,,
California's 7th Assembly District – DEM Hold,,
Norman S. Waters (D-inc),85225,69.48%
Steven C. Bailey (R),37440,30.52%
Total Votes,122665,100.00%
,,
California's 8th Assembly District – GOP Hold,,
Don A. Sebastiani (R-inc),72356,59.92%
Louis J. Gentile (D),48404,40.08%
Total Votes,120760,100.00%
,,
California's 9th Assembly District – GOP Hold,,
"William J. ""Bill"" Filante (R-inc)",67619,55.13%
Paul C. Chignell (D),55035,44.87%
Total Votes,122654,100.00%
,,
California's 10th Assembly District – DEM Gain,,
Phillip L. Isenberg (D),65635,59.39%
Ingrid Azvedo (R),44889,40.61%
Total Votes,110524,100.00%
,,
California's 11th Assembly District – DEM Hold,,
"Robert J. ""Bob"" Campbell (D-inc)",78582,84.66%
Joe Garner (AI),7750,8.35%
Adam M. La Zare (L),6491,6.99%
Total Votes,92823,100.00%
,,
California's 12th Assembly District – DEM Hold,,
Tom Bates (D),95875,72.71%
Gerti B. Thomas (R),31697,24.04%
Emma Wong Mar (PF),4285,3.25%
Total Votes,131857,100.00%
,,
California's 13th Assembly District – DEM Hold,,
Elihu M. Harris (D-inc),54949,100.00%
,,
California's 14th Assembly District – DEM Hold,,
Johan Klehs (D),51728,55.27%
Ann H. Duncan (R),41870,44.73%
Total Votes,93598,100.00%
,,
California's 15th Assembly District – GOP Hold,,
"William P. ""Bill"" Baker (R-inc)",78816,65.92%
Margaret W. Kovar (D),40744,34.08%
Total Votes,119560,100.00%
,,
California's 16th Assembly District – DEM Hold,,
Art Agnos (D-inc),61736,81.45%
Gordon A. Bloyer (R),14062,18.55%
Total Votes,75798,100.00%
,,
California's 17th Assembly District – DEM Hold,,
Willie Brown (D-inc),70320,66.84%
Thomas S. Crary (R),27848,26.47%
Bonnie Hoy (L),4073,3.87%
Michael G. Zaharakis (PF),2961,2.81%
Total Votes,105202,100.00%
,,
California's 18th Assembly District – DEM Hold,,
Alister McAlister (D-inc),51565,66.45%
Mike Thompson (R),22589,29.11%
John H. Webster (L),3444,4.44%
Total Votes,77598,100.00%
,,
California's 19th Assembly District – DEM Hold,,
Lou Papan (D-inc),56060,63.60%
Les Kelting (R),29059,32.97%
Mark Read Pickens (L),3031,3.44%
Total Votes,88150,100.00%
,,
California's 20th Assembly District – GOP Hold,,
Robert W. Naylor (R-inc),72091,64.46%
Jack W. Smith (D),34102,30.49%
Don Smith (L),4106,3.67%
David R. Castronovo (AI),1535,1.37%
Total Votes,111834,100.00%
,,
California's 21st Assembly District – DEM Hold,,
Byron D. Sher (D-inc),64367,68.43%
"William J. ""Bill"" Parkinson (L)",25941,27.58%
Russell E. Fridley (L),2297,2.44%
Frank DeSio (PF),1463,1.56%
Total Votes,94068,100.00%
,,
California's 22nd Assembly District – GOP Hold,,
Ernie Konnyu (R-inc),67145,59.28%
Marge Sutton (D),41587,36.71%
Jeffrey D. Smith (L),4538,4.01%
Total Votes,113270,100.00%
,,
California's 23rd Assembly District – DEM Hold,,
John Vasconcellos (D-inc),49185,68.67%
Pat Fowler (R),19751,27.57%
Ann Justi (L),2692,3.76%
Total Votes,71628,100.00%
,,
California's 24th Assembly District – DEM Hold,,
Dom Cortese (D-inc),51373,63.53%
Jack Sandoval (R),25929,32.07%
Alice M. Agogino (L),3560,4.40%
Total Votes,80862,100.00%
,,
California's 25th Assembly District – DEM Hold,,
Rusty Areias (D),48949,63.89%
"R. Edwin ""Ed"" Norris (R)",25677,33.52%
Mark Hinkle (L),1983,2.59%
Total Votes,76609,100.00%
,,
California's 26th Assembly District – DEM Hold,,
Patrick Johnston (D-inc),57205,64.81%
Douglas F. Carter (R),28563,32.36%
Deborah H. Horner (L),2495,2.83%
Total Votes,88263,100.00%
,,
California's 27th Assembly District – DEM Hold,,
Gary Condit (D),52606,66.87%
Kate Nyegaard (R),26064,33.13%
Total Votes,78670,100.00%
,,
California's 28th Assembly District – DEM Hold,,
Sam Farr (D-inc),78534,71.07%
Peter Cost (R),31973,28.93%
Total Votes,110507,100.00%
,,
California's 29th Assembly District – DEM Hold,,
Eric Seastrand (R),61828,60.37%
Kurt P. Kupper (D),40584,39.63%
Total Votes,102412,100.00%
,,
California's 30th Assembly District – DEM Hold,,
Jim Costa (D-inc),51524,100.00%
,,
California's 31st Assembly District – DEM Hold,,
Bruce Bronzan (D),51815,59.54%
Jo-Ann Taul Slinkard (R),32443,37.28%
James B. Johnson (L),2773,3.19%
Total Votes,87031,100.00%
,,
California's 32nd Assembly District – GOP Hold,,
Bill Jones (R),60744,61.70%
Clyde Gould (D),37700,38.30%
Total Votes,98444,100.00%
,,
California's 33rd Assembly District – GOP Hold,,
Don Rogers (R-inc),39617,51.19%
John M. Means (D),37769,48.81%
Total Votes,77386,100.00%
,,
California's 34th Assembly District – GOP Hold,,
Phil Wyman (R-inc),84963,100.00%
,,
California's 35th Assembly District – DEM Hold,,
Jack O'Connell (D),51870,50.58%
Brooks Firestone (R),50680,49.42%
Total Votes,102550,100.00%
,,
California's 36th Assembly District – GOP Hold,,
Tom McClintock (R),60702,55.88%
Harriet Kosmo Henson (D),47932,44.12%
Total Votes,108634,100.00%
,,
California's 37th Assembly District – GOP Hold,,
Cathie M. Wright (R-inc),55849,55.99%
"C. W. ""Dick"" Stine (D)",38574,38.67%
Susan R. Downes (L),5329,5.34%
Total Votes,99752,100.00%
,,
California's 38th Assembly District – GOP Hold,,
Marian W. La Follette (R-inc),58558,53.20%
Steven Charles Afriat (D),45866,41.67%
Terry Blake Stevenson (L),5639,5.12%
Total Votes,110063,100.00%
,,
California's 39th Assembly District – DEM Hold,,
Richard Katz (D-inc),43392,57.31%
Lynn Robert Davis (R),29691,39.21%
B. J. Rose (PF),2635,3.48%
Total Votes,75718,100.00%
,,
California's 40th Assembly District – DEM Hold,,
Tom Bane (D-inc),65110,71.56%
Marvin Shinkman (R),25880,28.44%
Total Votes,90990,100.00%
,,
California's 41st Assembly District – GOP Hold,,
Pat Nolan (R-inc),86809,100.00%
,,
California's 42nd Assembly District – GOP Hold,,
Dick Mountjoy (R-inc),75214,68.66%
"Josephine ""Jo"" Smith (D)",34327,31.34%
Total Votes,109541,100.00%
,,
California's 43rd Assembly District – DEM Hold,,
Gray Davis (D),77081,63.43%
Ray Jan Sollenberger (R),44435,36.57%
Total Votes,121516,100.00%
,,
California's 44th Assembly District – DEM Hold,,
Tom Hayden (D),65435,52.69%
Bill Hawkins (R),54637,43.99%
Ed Wolford (L),2346,1.89%
Jack Hampton (PF),1781,1.43%
Total Votes,124199,100.00%
,,
California's 45th Assembly District – DEM Hold,,
Burt M. Margolin (D),59825,63.58%
Sonia E. McIntosh (R),27832,29.58%
Ted Brown (L),3700,3.93%
"Margaret ""Maggie"" Feigin (PF)",2735,2.91%
Total Votes,94092,100.00%
,,
California's 46th Assembly District – DEM Hold,,
Mike Roos (D-inc),32462,68.68%
Harold P. Collins (R),13076,27.67%
Charles Tate (L),1725,3.65%
Total Votes,47263,100.00%
,,
California's 47th Assembly District – DEM Hold,,
Teresa P. Hughes (D-inc),42305,88.47%
Gregory R. Dahlin (R),5514,11.53%
Total Votes,47819,100.00%
,,
California's 48th Assembly District – DEM Hold,,
Maxine Waters (D-inc),54209,100.00%
,,
California's 49th Assembly District – DEM Hold,,
Gwen Moore (D-inc),76405,77.74%
Jordan Daniels Jr. (R),21880,22.26%
Total Votes,98285,100.00%
,,
California's 50th Assembly District – DEM Hold,,
Curtis R. Tucker (D-inc),64251,78.97%
Arthur Fernandas Thomas (R),14833,18.23%
Steve Kelley (L),2279,2.80%
Total Votes,81363,100.00%
,,
California's 51st Assembly District – GOP Hold,,
Gerald N. Felando (R-inc),77833,66.84%
Peter S. Helfer (D),34775,29.86%
G. Samuel Treynor (L),3842,3.30%
Total Votes,116450,100.00%
,,
California's 52nd Assembly District – GOP Hold,,
Frank Hill (R),60101,65.90%
Michael A. Reza (D),31104,34.10%
Total Votes,91205,100.00%
,,
California's 53rd Assembly District – DEM Hold,,
"Richard E. ""Dick"" Floyd (D-inc)",45130,62.74%
"Walter R. ""Wally"" Mueller (R)",26798,37.26%
Total Votes,71928,100.00%
,,
California's 54th Assembly District – DEM Hold,,
Frank Vicencia (D-inc),50121,64.79%
Janice Lynch (R),25191,32.56%
"Earl R. ""Randy"" Turner (PF)",2047,2.65%
Total Votes,77359,100.00%
,,
California's 55th Assembly District – DEM Hold,,
Richard Alatorre (D-inc),35687,68.03%
Frank N. Ricchiazzi (R),16767,31.97%
Total Votes,52454,100.00%
,,
California's 56th Assembly District – DEM Hold,,
Gloria Molina (D),23835,83.32%
Donald W. Hyde (R),4770,16.68%
Total Votes,28605,100.00%
,,
California's 57th Assembly District – DEM Hold,,
David Elder (D-inc),42030,67.01%
L. Pat West (R),19111,30.47%
Lee H. Chauser (PF),1583,2.52%
Total Votes,62724,100.00%
,,
California's 58th Assembly District – GOP Hold,,
Dennis L. Brown (R-inc),74767,64.14%
Patricia Springer (D),39596,33.97%
Paul Haak (PF),2202,1.89%
Total Votes,116565,100.00%
,,
California's 59th Assembly District – DEM Hold,,
Charles M. Calderon (D),48177,64.02%
"J. William ""Bill"" Orozco (R)",24655,32.76%
"Carl M. ""Marty"" Swinney (L)",2420,3.22%
Total Votes,75252,100.00%
,,
California's 60th Assembly District – DEM Hold,,
Sally Tanner (D-inc),40411,70.37%
Elizabeth Van Note (R),15646,27.24%
David Carl Argall (L),1372,2.39%
Total Votes,57429,100.00%
,,
California's 61st Assembly District – GOP Hold,,
Bill Leonard (R),71301,72.11%
Gesa Maria Kearney (D),27573,27.89%
Total Votes,98874,100.00%
,,
California's 62nd Assembly District – GOP Hold,,
"William H. ""Bill"" Lancaster (R-inc)",68402,69.01%
"Richard A. ""Dick"" Santell (D)",30723,30.99%
Total Votes,99125,100.00%
,,
California's 63rd Assembly District – DEM Hold,,
Bruce E. Young (D-inc),70817,100.00%
,,
California's 64th Assembly District – GOP Hold,,
Ross Johnson (R-inc),77638,100.00%
,,
California's 65th Assembly District – GOP Gain,,
Charles W. Bader (R),37147,52.64%
Jim Cramer (D-inc),33421,47.36%
Total Votes,70568,100.00%
,,
California's 66th Assembly District – DEM Hold,,
Terry Goggin (D-inc),41289,51.59%
Albert E. Miller (R),38741,48.41%
Total Votes,80030,100.00%
,,
California's 67th Assembly District – GOP Hold,,
John R. Lewis (R-inc),69947,70.99%
Paul F. Broughton (D),28587,29.01%
Total Votes,98534,100.00%
,,
California's 68th Assembly District – DEM Hold,,
Steve Clute (D),44945,53.76%
John E. Stanton (R),38659,46.24%
Total Votes,83604,100.00%
,,
California's 69th Assembly District – GOP Hold,,
Nolan Frizzelle (R-inc),64154,64.99%
"Robert ""Bob"" Hanson (D)",34553,35.01%
Total Votes,98707,100.00%
,,
California's 70th Assembly District – GOP Hold,,
Marian C. Bergeson (R-inc),88391,73.71%
Linda Westfall (D),31523,26.29%
Total Votes,119914,100.00%
,,
California's 71st Assembly District – GOP Gain,,
Doris Allen (R),48103,51.62%
"Chester B. ""Chet"" Wray (D-inc)",41734,44.78%
Charles F. Barr (L),3352,3.60%
Total Votes,93189,100.00%
,,
California's 72nd Assembly District – DEM Hold,,
Richard H. Robinson (D-inc),35415,56.18%
Dick Longshore (R),27621,43.82%
Total Votes,63036,100.00%
,,
California's 73rd Assembly District – GOP Hold,,
David G. Kelley (R-inc),66241,64.04%
Julius Scher (D),37196,35.96%
Total Votes,103437,100.00%
,,
California's 74th Assembly District – GOP Hold,,
Robert Frazee (R-inc),59898,100.00%
,,
California's 75th Assembly District,,
Sunny Mojonnier (R),59055,57.92%
"Richard L. ""Dick"" Roe (D)",42910,42.08%
Total Votes,101965,100.00%
,,
California's 76th Assembly District – GOP Hold,,
Bill Bradley (R),70837,67.29%
Barbara E. Van de Water (D),34440,32.71%
Total Votes,105277,100.00%
,,
California's 77th Assembly District – GOP Hold,,
Larry Stirling (R-inc),88315,100.00%
,,
California's 78th Assembly District – DEM Hold,,
Lucy Killea (D),60494,57.70%
Jerry Baker (R),41041,39.15%
Fritz Sands (L),3308,3.16%
Total Votes,104843,100.00%
,,
California's 79th Assembly District – DEM Hold,,
"Peter R. ""Pete"" Chacon (D-inc)",44373,69.40%
Gary Gahn (R),19562,30.60%
Total Votes,63935,100.00%
,,
California's 80th Assembly District – DEM Hold,,
Steve Peace (D),36709,52.70%
Don Perry (R),32954,47.30%
Total Votes,69663,100.00%
,,
"California legislative elections, 1980",,
California's 1st Senate District - GOP Hold,,
Ray E. Johnson (R-inc),190897,68.62%
Don W. Huggins (D),71041,25.54%
Steve Sparling (L),16259,5.84%
Total Votes,278197,100.00%
,,
California's 3rd Senate District – GOP Gain,,
John T. Doolittle (R-inc),125215,51.65%
Albert S. Rodda (D),117229,48.35%
Total Votes,242444,100.00%
,,
California's 5th Senate District – GOP Hold,,
Milton Marks (R-inc),123909,85.41%
Eric A. Garris (L),21162,14.59%
Total Votes,145071,100.00%
,,
California's 7th Senate District – DEM Hold,,
Daniel Boatwright (D-inc),150014,62.53%
J. J. Jarboe (R),67769,28.25%
Frank A. White (L),12214,5.09%
Joe Garner (AI),9927,4.14%
Total Votes,239924,100.00%
,,
California's 9th Senate District – DEM Hold,,
Nicholas C. Petris (D-inc),127131,64.88%
Todd Lewis Roust (R),51990,26.53%
Raymond T. Diamond (L),9978,5.09%
Tom Condit (PF),6864,3.50%
Total Votes,195963,100.00%
,,
California's 11th Senate District – DEM Hold,,
Al Alquist (D-inc),133506,60.77%
Richard W. Arey (R),72805,33.14%
John R. Redding (L),13393,6.10%
Total Votes,219704,100.00%
,,
California's 13th Senate District – DEM Hold,,
John Garamendi (D-inc),160490,65.77%
"William V. D. ""Bill"" Johnson (R)",83520,34.23%
Total Votes,244010,100.00%
,,
California's 15th Senate District – DEM Hold,,
Rose Ann Vuich (D-inc),140086,72.24%
Fay G. Adams (R),53840,27.76%
Total Votes,193926,100.00%
,,
California's 17th Senate District – DEM Gain,,
Henry Mello (D),117769,48.46%
Eric Seastrand (R),116931,48.11%
Tim Kilburn (L),8347,3.43%
Total Votes,243047,100.00%
,,
California's 19th Senate District – GOP Hold,,
Ed Davis (R),153650,59.26%
Rosemary Woodlock (D),93833,36.19%
Carl L. Stiffler (L),11804,4.55%
Total Votes,259287,100.00%
,,
California's 21st Senate District – GOP Hold,,
Newton R. Russell (R-inc),136654,71.82%
"Samuel H. ""Sam"" Cogar (D)",43458,22.84%
Ed Ogawa (L),10164,5.34%
Total Votes,190276,100.00%
,,
California's 23rd Senate District – DEM Hold,,
David A. Roberti (D-inc),92514,62.74%
Norman Aaron White (R),46162,31.30%
Zack Richardson (L),6280,4.26%
Kevin Scanlon (AI),2507,1.70%
Total Votes,147463,100.00%
,,
California's 25th Senate District – GOP Hold,,
"H. L. ""Bill"" Richardson (R-inc)",146675,74.94%
Toby Boothroyd (D),41137,21.02%
Bruce A. Staller (L),7900,4.04%
Total Votes,195712,100.00%
,,
California's 27th Senate District – GOP Hold,,
Robert G. Beverly (R-inc),132253,71.68%
Dave Buckland (D),38879,21.07%
Stanley G. Howard (L),13376,7.25%
Total Votes,184508,100.00%
,,
California's 29th Senate District – DEM Hold,,
Bill Greene (D-inc),76043,82.91%
Timothy F. Faulkner (R),13015,14.19%
Charles J. Thomas (L),2660,2.90%
Total Votes,91718,100.00%
,,
California's 31st Senate District – GOP Hold,,
Ollie Speraw (R),90196,54.59%
Robert E. Fronke (D),75026,45.41%
Total Votes,165222,100.00%
,,
California's 33rd Senate District – GOP Hold,,
"William P. ""Bill"" Campbell (R-inc)",133740,72.86%
Bob Epple (D),49823,27.14%
Total Votes,183563,100.00%
,,
California's 35th Senate District – GOP Hold,,
John V. Briggs (R-inc),153265,62.58%
Louis D. Velasquez (D),76653,31.30%
James N. Grover (L),10989,4.49%
Frank Boeheim (PF),4004,1.63%
Total Votes,244911,100.00%
,,
California's 37th Senate District – DEM Hold,,
Paul B. Carpenter (D-inc),104374,60.44%
Dewey Leroy Wiles (R),68315,39.56%
Total Votes,172689,100.00%
,,
California's 39th Senate District – GOP Gain,,
Jim Ellis (R),150263,63.34%
