Office,Name,Party,Birth Date,Date started
House,Vicente Gonzalez,Democratic,1967-09-04,2017-01-03
House,Veronica Escobar,Democratic,1969-09-15,2019-01-03
House,Pete Sessions,Republican,1955-03-22,2021-01-03
House,Sheila Jackson Lee,Democratic,1950-01-12,1995-01-03
House,Jodey Arrington,Republican,1972-03-09,2017-01-03
House,Joaquin Castro,Democratic,1974-09-16,2013-01-03
House,Chip Roy,Republican,1972-08-07,2019-01-03
House,Troy Nehls,Republican,1968-04-07,2021-01-03
House,Tony Gonzales,Republican,1980-01-01,2021-01-03
House,Beth Van Duyne,Republican,1971-01-01,2021-01-03
House,Roger Williams,Republican,1949-09-13,2013-01-03
House,Michael C. Burgess,Republican,1950-12-23,2003-01-03
House,Michael Cloud,Republican,1975-05-13,2018-07-10
House,Henry Cuellar,Democratic,1955-09-19,2005-01-03
House,Sylvia Garcia,Democratic,1950-09-06,2019-01-03
House,Eddie Bernice Johnson,Democratic,1935-12-03,1993-01-03
House,John Carter,Republican,1941-11-06,2003-01-03
House,Colin Allred,Democratic,1983-04-15,2019-01-03
House,Marc Veasey,Democratic,1971-01-03,2013-01-03
House,Filemon Vela Jr.,Democratic,1963-02-13,2013-01-03
House,Lloyd Doggett,Democratic,1946-10-06,1995-01-03
House,Brian Babin,Republican,1948-03-23,2015-01-03
House,Blake Moore,Republican,1981-01-01,2021-01-03
House,Chris Stewart,Republican,1960-07-15,2013-01-03
House,John Curtis,Republican,1960-05-10,2017-11-13
House,Burgess Owens,Republican,1951-08-02,2021-01-03
House,Peter Welch,Democratic,1947-05-02,2007-01-03
House,Rob Wittman,Republican,1959-02-03,2007-12-11
House,Elaine Luria,Democratic,1975-08-15,2019-01-03
House,Bobby Scott,Democratic,1947-04-30,1993-01-03
House,Donald McEachin,Democratic,1961-10-10,2017-01-03
House,Bob Good,Republican,1966-01-01,2021-01-03
House,Ben Cline,Republican,1972-02-29,2019-01-03
House,Abigail Spanberger,Democratic,1979-08-07,2019-01-03
House,Don Beyer,Democratic,1950-06-20,2015-01-03
House,Morgan Griffith,Republican,1958-03-15,2011-01-03
House,Jennifer Wexton,Democratic,1968-05-27,2019-01-03
House,Gerry Connolly,Democratic,1950-03-30,2009-01-03
House,Suzan DelBene,Democratic,1962-02-17,2012-11-13
House,Rick Larsen,Democratic,1965-06-15,2001-01-03
House,Jaime Herrera Beutler,Republican,1978-11-03,2011-01-03
House,Dan Newhouse,Republican,1955-07-10,2015-01-03
House,Cathy McMorris Rodgers,Republican,1969-05-22,2005-01-03
House,Derek Kilmer,Democratic,1974-01-01,2013-01-03
House,Pramila Jayapal,Democratic,1965-09-21,2017-01-03
House,Kim Schrier,Democratic,1968-08-23,2019-01-03
House,Adam Smith,Democratic,1965-06-15,1997-01-03
House,Marilyn Strickland,Democratic,1962-09-25,2021-01-03
House,David McKinley,Republican,1947-03-28,2011-01-03
House,Alex Mooney,Republican,1971-06-07,2015-01-03
House,Carol Miller,Republican,1950-11-04,2019-01-03
House,Bryan Steil,Republican,1981-03-03,2019-01-03
House,Mark Pocan,Democratic,1964-08-14,2013-01-03
House,Ron Kind,Democratic,1963-03-16,1997-01-03
House,Gwen Moore,Democratic,1951-04-18,2005-01-03
House,Scott Fitzgerald,Republican,1963-11-16,2021-01-03
House,Glenn Grothman,Republican,1955-07-03,2015-01-03
House,Tom Tiffany,Republican,1957-12-30,2020-05-19
House,Mike Gallagher,Republican,1984-03-03,2017-01-03
House,Liz Cheney,Republican,1966-07-28,2017-01-03
